Time,H2O_ppm,Relative_Uncertainty,W
3.53E-05,1500.346792,0.05,5.21E-02
3.59E-05,1506.401727,0.05,5.21E-02
3.64E-05,1512.439021,0.05,5.21E-02
3.70E-05,1518.458798,0.05,5.21E-02
3.75E-05,1524.461176,0.05,5.21E-02
3.81E-05,1530.446276,0.05,5.21E-02
3.89E-05,1539.496108,0.05,5.21E-02
3.97E-05,1548.506833,0.05,5.21E-02
4.05E-05,1557.478855,0.05,5.21E-02
4.14E-05,1566.412571,0.05,5.21E-02
4.22E-05,1575.308372,0.05,5.21E-02
4.30E-05,1584.16664,0.05,5.21E-02
4.39E-05,1592.987753,0.05,5.21E-02
4.47E-05,1601.772077,0.05,5.21E-02
4.55E-05,1610.519972,0.05,5.21E-02
4.63E-05,1619.231793,0.05,5.21E-02
4.72E-05,1627.907882,0.05,5.21E-02
4.80E-05,1636.548579,0.05,5.21E-02
4.88E-05,1645.154213,0.05,5.21E-02
4.97E-05,1653.725106,0.05,5.21E-02
5.05E-05,1662.261573,0.05,5.21E-02
5.17E-05,1675.039592,0.05,5.21E-02
5.30E-05,1687.741414,0.05,5.21E-02
5.42E-05,1700.368022,0.05,5.21E-02
5.55E-05,1712.920367,0.05,5.21E-02
5.67E-05,1725.399367,0.05,5.21E-02
5.79E-05,1737.805907,0.05,5.21E-02
5.92E-05,1750.140846,0.05,5.21E-02
6.04E-05,1762.40501,0.05,5.21E-02
6.17E-05,1774.5992,0.05,5.21E-02
6.29E-05,1786.724189,0.05,5.21E-02
6.42E-05,1798.780726,0.05,5.21E-02
6.54E-05,1810.769535,0.05,5.21E-02
6.74E-05,1829.322904,0.05,5.21E-02
6.93E-05,1847.715972,0.05,5.21E-02
7.12E-05,1865.951168,0.05,5.21E-02
7.32E-05,1884.030805,0.05,5.21E-02
7.51E-05,1901.957095,0.05,5.21E-02
7.71E-05,1919.732149,0.05,5.21E-02
7.90E-05,1937.357989,0.05,5.21E-02
8.09E-05,1954.836555,0.05,5.21E-02
8.29E-05,1972.169707,0.05,5.21E-02
8.48E-05,1989.359236,0.05,5.21E-02
8.68E-05,2006.406862,0.05,5.21E-02
8.87E-05,2023.314247,0.05,5.21E-02
9.07E-05,2040.082993,0.05,5.21E-02
9.26E-05,2056.714651,0.05,5.21E-02
9.45E-05,2073.210719,0.05,5.21E-02
9.65E-05,2089.572652,0.05,5.21E-02
9.84E-05,2105.801861,0.05,5.21E-02
0.000100354,2121.899716,0.05,5.21E-02
0.000102295,2137.867551,0.05,5.21E-02
0.000104236,2153.706666,0.05,5.21E-02
0.000106177,2169.418326,0.05,5.21E-02
0.000108117,2185.003768,0.05,5.21E-02
0.000110058,2200.464199,0.05,5.21E-02
0.000111999,2215.800801,0.05,5.21E-02
0.00011394,2231.014729,0.05,5.21E-02
0.000115881,2246.107116,0.05,5.21E-02
0.000117821,2261.079072,0.05,5.21E-02
0.000119762,2275.931688,0.05,5.21E-02
0.000121703,2290.666033,0.05,5.21E-02
0.000123644,2305.283159,0.05,5.21E-02
0.000125585,2319.784099,0.05,5.21E-02
0.000127525,2334.16987,0.05,5.21E-02
0.000129466,2348.441474,0.05,5.21E-02
0.000131407,2362.599898,0.05,5.21E-02
0.000133348,2376.646111,0.05,5.21E-02
0.000135288,2390.581074,0.05,5.21E-02
0.000137229,2404.405731,0.05,5.21E-02
0.00013917,2418.121014,0.05,5.21E-02
0.000141111,2431.727843,0.05,5.21E-02
0.000143052,2445.227129,0.05,5.21E-02
0.000144992,2458.619767,0.05,5.21E-02
0.000146933,2471.906647,0.05,5.21E-02
0.000148874,2485.088643,0.05,5.21E-02
0.000150815,2498.166624,0.05,5.21E-02
0.000152756,2511.141447,0.05,5.21E-02
0.000154696,2524.013958,0.05,5.21E-02
0.000156637,2536.784997,0.05,5.21E-02
0.000158578,2549.455394,0.05,5.21E-02
0.000160519,2562.025971,0.05,5.21E-02
0.00016246,2574.49754,0.05,5.21E-02
0.0001644,2586.870906,0.05,5.21E-02
0.000167334,2605.386585,0.05,5.21E-02
0.000170267,2623.682494,0.05,5.21E-02
0.0001732,2641.761313,0.05,5.21E-02
0.000176133,2659.625683,0.05,5.21E-02
0.000179066,2677.278209,0.05,5.21E-02
0.000182,2694.721461,0.05,5.21E-02
0.000184933,2711.957973,0.05,5.21E-02
0.000187866,2728.990248,0.05,5.21E-02
0.000190799,2745.820753,0.05,5.21E-02
0.000193732,2762.451924,0.05,5.21E-02
0.000196665,2778.886167,0.05,5.21E-02
0.000199599,2795.125855,0.05,5.21E-02
0.000202532,2811.173332,0.05,5.21E-02
0.000205465,2827.030912,0.05,5.21E-02
0.000208398,2842.700879,0.05,5.21E-02
0.000211331,2858.185491,0.05,5.21E-02
0.000214265,2873.486976,0.05,5.21E-02
0.000217198,2888.607534,0.05,5.21E-02
0.000220131,2903.549339,0.05,5.21E-02
0.000223064,2918.314537,0.05,5.21E-02
0.000225997,2932.90525,0.05,5.21E-02
0.000230454,2954.746854,0.05,5.21E-02
0.000234911,2976.197645,0.05,5.21E-02
0.000239368,2997.264725,0.05,5.21E-02
0.000243826,3017.955065,0.05,5.21E-02
0.000248283,3038.275509,0.05,5.21E-02
0.00025274,3058.232777,0.05,5.21E-02
0.000257197,3077.833462,0.05,5.21E-02
0.000261654,3097.08404,0.05,5.21E-02
0.000266111,3115.990868,0.05,5.21E-02
0.000270568,3134.560186,0.05,5.21E-02
0.000275025,3152.798122,0.05,5.21E-02
0.000279482,3170.710689,0.05,5.21E-02
0.000283939,3188.303795,0.05,5.21E-02
0.000288396,3205.583237,0.05,5.21E-02
0.000292853,3222.554707,0.05,5.21E-02
0.00029731,3239.223794,0.05,5.21E-02
0.000304149,3264.225384,0.05,5.21E-02
0.000310988,3288.547311,0.05,5.21E-02
0.000317827,3312.208403,0.05,5.21E-02
0.000324666,3335.226965,0.05,5.21E-02
0.000331504,3357.620793,0.05,5.21E-02
0.000338343,3379.407187,0.05,5.21E-02
0.000345182,3400.602967,0.05,5.21E-02
0.000352021,3421.224483,0.05,5.21E-02
0.00035886,3441.287631,0.05,5.21E-02
0.000365699,3460.807864,0.05,5.21E-02
0.000372538,3479.800205,0.05,5.21E-02
0.000379377,3498.279257,0.05,5.21E-02
0.000386215,3516.259218,0.05,5.21E-02
0.000393054,3533.753887,0.05,5.21E-02
0.000399893,3550.776682,0.05,5.21E-02
0.000406732,3567.340644,0.05,5.21E-02
0.000413571,3583.458451,0.05,5.21E-02
0.00042041,3599.142428,0.05,5.21E-02
0.000427249,3614.404555,0.05,5.21E-02
0.000434088,3629.256477,0.05,5.21E-02
0.000439065,3639.815439,0.05,5.21E-02
0.000444043,3650.167335,0.05,5.21E-02
0.000449021,3660.316338,0.05,5.21E-02
0.000453999,3670.266536,0.05,5.21E-02
0.000458977,3680.021933,0.05,5.21E-02
0.000463955,3689.586453,0.05,5.21E-02
0.000468933,3698.963937,0.05,5.21E-02
0.000473911,3708.15815,0.05,5.21E-02
0.000478889,3717.172781,0.05,5.21E-02
0.000483866,3726.01144,0.05,5.21E-02
0.000488844,3734.677666,0.05,5.21E-02
0.000493822,3743.174926,0.05,5.21E-02
0.0004988,3751.506616,0.05,5.21E-02
0.000503778,3759.676061,0.05,5.21E-02
0.000508756,3767.68652,0.05,5.21E-02
0.000513734,3775.541184,0.05,5.21E-02
0.000518712,3783.243181,0.05,5.21E-02
0.00052369,3790.795573,0.05,5.21E-02
0.000528667,3798.201361,0.05,5.21E-02
0.000536404,3809.426728,0.05,5.21E-02
0.00054414,3820.315834,0.05,5.21E-02
0.000551876,3830.879087,0.05,5.21E-02
0.000559612,3841.126567,0.05,5.21E-02
0.000567348,3851.068035,0.05,5.21E-02
0.000575085,3860.712947,0.05,5.21E-02
0.000582821,3870.070458,0.05,5.21E-02
0.000590557,3879.149437,0.05,5.21E-02
0.000598293,3887.958472,0.05,5.21E-02
0.00060603,3896.505882,0.05,5.21E-02
0.000613766,3904.799724,0.05,5.21E-02
0.000621502,3912.847799,0.05,5.21E-02
0.000629238,3920.657667,0.05,5.21E-02
0.000636974,3928.236646,0.05,5.21E-02
0.000644711,3935.591826,0.05,5.21E-02
0.000652447,3942.730074,0.05,5.21E-02
0.00065778,3947.52855,0.05,5.21E-02
0.000663114,3952.229201,0.05,5.21E-02
0.000668448,3956.834104,0.05,5.21E-02
0.000673781,3961.345288,0.05,5.21E-02
0.000679115,3965.764739,0.05,5.21E-02
0.000684448,3970.0944,0.05,5.21E-02
0.000689782,3974.336171,0.05,5.21E-02
0.000695115,3978.491912,0.05,5.21E-02
0.000700449,3982.563442,0.05,5.21E-02
0.000705783,3986.55254,0.05,5.21E-02
0.000711116,3990.460947,0.05,5.21E-02
0.00071645,3994.290365,0.05,5.21E-02
0.000721783,3998.042461,0.05,5.21E-02
0.000727117,4001.718865,0.05,5.21E-02
0.00073245,4005.321171,0.05,5.21E-02
0.000737784,4008.850939,0.05,5.21E-02
0.000743118,4012.309696,0.05,5.21E-02
0.000748451,4015.698934,0.05,5.21E-02
0.000753785,4019.020115,0.05,5.21E-02
0.000759118,4022.274667,0.05,5.21E-02
0.000764452,4025.463989,0.05,5.21E-02
0.000769786,4028.589449,0.05,5.21E-02
0.000775119,4031.652386,0.05,5.21E-02
0.000780453,4034.654108,0.05,5.21E-02
0.000785786,4037.595898,0.05,5.21E-02
0.00079112,4040.479009,0.05,5.21E-02
0.000796453,4043.304666,0.05,5.21E-02
0.000801787,4046.074072,0.05,5.21E-02
0.000807121,4048.788399,0.05,5.21E-02
0.000812454,4051.448797,0.05,5.21E-02
0.000817788,4054.056389,0.05,5.21E-02
0.000823121,4056.612276,0.05,5.21E-02
0.000828455,4059.117533,0.05,5.21E-02
0.000833789,4061.573215,0.05,5.21E-02
0.000839122,4063.98035,0.05,5.21E-02
0.000847668,4067.738378,0.05,5.21E-02
0.000856213,4071.378399,0.05,5.21E-02
0.000864758,4074.904309,0.05,5.21E-02
0.000873304,4078.319866,0.05,5.21E-02
0.000881849,4081.628705,0.05,5.21E-02
0.000890395,4084.834334,0.05,5.21E-02
0.00089894,4087.940141,0.05,5.21E-02
0.000907486,4090.949402,0.05,5.21E-02
0.000916031,4093.865276,0.05,5.21E-02
0.000924577,4096.690821,0.05,5.21E-02
0.000933122,4099.428986,0.05,5.21E-02
0.000941668,4102.082623,0.05,5.21E-02
0.000950213,4104.654486,0.05,5.21E-02
0.000958759,4107.147236,0.05,5.21E-02
0.000967304,4109.563443,0.05,5.21E-02
0.000975849,4111.905592,0.05,5.21E-02
0.000984395,4114.176083,0.05,5.21E-02
0.00099294,4116.377235,0.05,5.21E-02
0.001001486,4118.511289,0.05,5.21E-02
