time,Absorbance_227,Relative_Uncertainty,W
9.25E-05,0.187213,0.1,5.92E-02
9.44E-05,0.186351,0.1,5.92E-02
9.62E-05,0.185476,0.1,5.92E-02
9.81E-05,0.18459,0.1,5.92E-02
9.99E-05,0.183695,0.1,5.92E-02
0.000101799,0.182791,0.1,5.92E-02
0.00010366,0.18188,0.1,5.92E-02
0.000105521,0.180962,0.1,5.92E-02
0.000107382,0.18004,0.1,5.92E-02
0.000109243,0.179112,0.1,5.92E-02
0.000111104,0.178182,0.1,5.92E-02
0.000112965,0.177248,0.1,5.92E-02
0.000114826,0.176313,0.1,5.92E-02
0.000116687,0.175376,0.1,5.92E-02
0.000118548,0.174438,0.1,5.92E-02
0.000120409,0.173499,0.1,5.92E-02
0.00012227,0.17256,0.1,5.92E-02
0.000124131,0.171622,0.1,5.92E-02
0.000125992,0.170685,0.1,5.92E-02
0.000127853,0.169749,0.1,5.92E-02
0.000129715,0.168815,0.1,5.92E-02
0.000131576,0.167882,0.1,5.92E-02
0.000133437,0.166952,0.1,5.92E-02
0.000135298,0.166024,0.1,5.92E-02
0.000137159,0.165099,0.1,5.92E-02
0.00013902,0.164176,0.1,5.92E-02
0.000140881,0.163257,0.1,5.92E-02
0.000142742,0.16234,0.1,5.92E-02
0.000144603,0.161427,0.1,5.92E-02
0.000146464,0.160518,0.1,5.92E-02
0.000148325,0.159612,0.1,5.92E-02
0.000150186,0.15871,0.1,5.92E-02
0.000152047,0.157812,0.1,5.92E-02
0.000153908,0.156917,0.1,5.92E-02
0.000155769,0.156027,0.1,5.92E-02
0.00015763,0.155141,0.1,5.92E-02
0.000160439,0.153812,0.1,5.92E-02
0.000163248,0.152492,0.1,5.92E-02
0.000166056,0.151182,0.1,5.92E-02
0.000168865,0.149882,0.1,5.92E-02
0.000171673,0.148593,0.1,5.92E-02
0.000174482,0.147313,0.1,5.92E-02
0.000177291,0.146044,0.1,5.92E-02
0.000180099,0.144785,0.1,5.92E-02
0.000182908,0.143537,0.1,5.92E-02
0.000185716,0.142299,0.1,5.92E-02
0.000188525,0.141071,0.1,5.92E-02
0.000191334,0.139853,0.1,5.92E-02
0.000194142,0.138646,0.1,5.92E-02
0.000196951,0.13745,0.1,5.92E-02
0.00019976,0.136263,0.1,5.92E-02
0.000202568,0.135087,0.1,5.92E-02
0.000205377,0.133921,0.1,5.92E-02
0.000208185,0.132765,0.1,5.92E-02
0.000210994,0.13162,0.1,5.92E-02
0.000213803,0.130484,0.1,5.92E-02
0.000216611,0.129358,0.1,5.92E-02
0.00021942,0.128242,0.1,5.92E-02
0.000223669,0.126573,0.1,5.92E-02
0.000227919,0.124925,0.1,5.92E-02
0.000232168,0.1233,0.1,5.92E-02
0.000236417,0.121697,0.1,5.92E-02
0.000240667,0.120115,0.1,5.92E-02
0.000244916,0.118554,0.1,5.92E-02
0.000249166,0.117015,0.1,5.92E-02
0.000253415,0.115496,0.1,5.92E-02
0.000257664,0.113997,0.1,5.92E-02
0.000261914,0.112519,0.1,5.92E-02
0.000266163,0.11106,0.1,5.92E-02
0.000270413,0.109622,0.1,5.92E-02
0.000274662,0.108202,0.1,5.92E-02
0.000278911,0.106802,0.1,5.92E-02
0.000283161,0.10542,0.1,5.92E-02
0.00028741,0.104057,0.1,5.92E-02
0.00029166,0.102713,0.1,5.92E-02
0.000295909,0.101386,0.1,5.92E-02
0.000302526,0.0993563,0.1,5.92E-02
0.000309143,0.0973685,0.1,5.92E-02
0.000315759,0.0954221,0.1,5.92E-02
0.000322376,0.0935162,0.1,5.92E-02
0.000328993,0.0916499,0.1,5.92E-02
0.000335609,0.0898223,0.1,5.92E-02
0.000342226,0.0880326,0.1,5.92E-02
0.000348843,0.08628,0.1,5.92E-02
0.000355459,0.0845636,0.1,5.92E-02
0.000362076,0.0828828,0.1,5.92E-02
0.000368693,0.0812366,0.1,5.92E-02
0.000378666,0.0788193,0.1,5.92E-02
0.00038864,0.0764766,0.1,5.92E-02
0.000398613,0.0742061,0.1,5.92E-02
0.000408587,0.0720056,0.1,5.92E-02
0.00041856,0.0698727,0.1,5.92E-02
0.000428533,0.0678053,0.1,5.92E-02
0.000438507,0.0658013,0.1,5.92E-02
0.00044848,0.0638586,0.1,5.92E-02
0.000458454,0.0619752,0.1,5.92E-02
0.000468427,0.0601493,0.1,5.92E-02
0.000478401,0.058379,0.1,5.92E-02
0.000488374,0.0566626,0.1,5.92E-02
0.000498347,0.0549984,0.1,5.92E-02
0.000508321,0.0533846,0.1,5.92E-02
0.000518294,0.0518197,0.1,5.92E-02
0.000528268,0.0503022,0.1,1.00E-11
0.000538241,0.0488305,0.1,1.00E-11
0.000548215,0.0474031,0.1,1.00E-11
0.000558188,0.0460188,0.1,1.00E-11
0.000568161,0.0446762,0.1,1.00E-11
0.000578135,0.0433739,0.1,1.00E-11
0.000585505,0.0424367,0.1,1.00E-11
0.000592875,0.0415203,0.1,1.00E-11
0.000600246,0.0406243,0.1,1.00E-11
0.000607616,0.0397482,0.1,1.00E-11
0.000614986,0.0388915,0.1,1.00E-11
0.000622357,0.0380538,0.1,1.00E-11
0.000629727,0.0372346,0.1,1.00E-11
0.000637097,0.0364336,0.1,1.00E-11
0.000642393,0.035869,0.1,1.00E-11
0.000647688,0.0353134,0.1,1.00E-11
0.000652984,0.0347666,0.1,1.00E-11
0.000658279,0.0342286,0.1,1.00E-11
0.000663575,0.0336991,0.1,1.00E-11
0.00066887,0.0331779,0.1,1.00E-11
0.000674166,0.0326651,0.1,1.00E-11
0.000679461,0.0321604,0.1,1.00E-11
0.000683318,0.0317978,0.1,1.00E-11
