Time,OH_ppm,Relative_Uncertainty,W
0.000322,40.5,0.05,0.0316227766
0.000323,40.6,0.05,0.0316227766
0.000324,40.3,0.05,0.0316227766
0.000325,40.2,0.05,0.0316227766
0.000326,40.4,0.05,0.0316227766
0.000327,40.1,0.05,0.0316227766
0.000328,40.2,0.05,0.0316227766
0.000329,40.1,0.05,0.0316227766
0.00033,39.8,0.05,0.0316227766
0.000331,39.8,0.05,0.0316227766
0.000332,39.6,0.05,0.0316227766
0.000333,39.7,0.05,0.0316227766
0.000334,39.6,0.05,0.0316227766
0.000335,39.5,0.05,0.0316227766
0.000336,39.5,0.05,0.0316227766
0.000337,39.5,0.05,0.0316227766
0.000338,39.5,0.05,0.0316227766
0.000339,39.3,0.05,0.0316227766
0.00034,39.3,0.05,0.0316227766
0.000341,39.3,0.05,0.0316227766
0.000342,39.2,0.05,0.0316227766
0.000343,39.2,0.05,0.0316227766
0.000344,39.1,0.05,0.0316227766
0.000345,39.1,0.05,0.0316227766
0.000346,38.9,0.05,0.0316227766
0.000347,38.9,0.05,0.0316227766
0.000348,38.9,0.05,0.0316227766
0.000349,39.1,0.05,0.0316227766
0.00035,39.1,0.05,0.0316227766
0.000351,39,0.05,0.0316227766
0.000352,39,0.05,0.0316227766
0.000353,39.1,0.05,0.0316227766
0.000354,39,0.05,0.0316227766
0.000355,39.2,0.05,0.0316227766
0.000356,39.1,0.05,0.0316227766
0.000357,38.9,0.05,0.0316227766
0.000358,38.7,0.05,0.0316227766
0.000359,38.7,0.05,0.0316227766
0.00036,38.7,0.05,0.0316227766
0.000361,38.7,0.05,0.0316227766
0.000362,38.7,0.05,0.0316227766
0.000363,38.4,0.05,0.0316227766
0.000364,38.5,0.05,0.0316227766
0.000365,38.5,0.05,0.0316227766
0.000366,38.6,0.05,0.0316227766
0.000367,38.4,0.05,0.0316227766
0.000368,38.3,0.05,0.0316227766
0.000369,38.4,0.05,0.0316227766
0.00037,38.3,0.05,0.0316227766
0.000371,38.3,0.05,0.0316227766
0.000372,38.2,0.05,0.0316227766
0.000373,38.2,0.05,0.0316227766
0.000374,38.2,0.05,0.0316227766
0.000375,38,0.05,0.0316227766
0.000376,38.2,0.05,0.0316227766
0.000377,38.2,0.05,0.0316227766
0.000378,38.1,0.05,0.0316227766
0.000379,38.2,0.05,0.0316227766
0.00038,38.3,0.05,0.0316227766
0.000381,38.1,0.05,0.0316227766
0.000382,38.1,0.05,0.0316227766
0.000383,38.2,0.05,0.0316227766
0.000384,38.2,0.05,0.0316227766
0.000385,38.1,0.05,0.0316227766
0.000386,37.9,0.05,0.0316227766
0.000387,38.2,0.05,0.0316227766
0.000388,38,0.05,0.0316227766
0.000389,37.9,0.05,0.0316227766
0.00039,37.9,0.05,0.0316227766
0.000391,38,0.05,0.0316227766
0.000392,38,0.05,0.0316227766
0.000393,37.9,0.05,0.0316227766
0.000394,38.1,0.05,0.0316227766
0.000395,37.8,0.05,0.0316227766
0.000396,37.9,0.05,0.0316227766
0.000397,37.8,0.05,0.0316227766
0.000398,37.8,0.05,0.0316227766
0.000399,37.6,0.05,0.0316227766
0.0004,37.6,0.05,0.0316227766
0.000401,37.6,0.05,0.0316227766
0.000402,37.7,0.05,0.0316227766
0.000403,37.4,0.05,0.0316227766
0.000404,37.2,0.05,0.0316227766
0.000405,37.4,0.05,0.0316227766
0.000406,37.3,0.05,0.0316227766
0.000407,37.1,0.05,0.0316227766
0.000408,37.4,0.05,0.0316227766
0.000409,37.1,0.05,0.0316227766
0.00041,37.3,0.05,0.0316227766
0.000411,37.2,0.05,0.0316227766
0.000412,37.2,0.05,0.0316227766
0.000413,37.1,0.05,0.0316227766
0.000414,36.8,0.05,0.0316227766
0.000415,36.7,0.05,0.0316227766
0.000416,37,0.05,0.0316227766
0.000417,36.9,0.05,0.0316227766
0.000418,36.7,0.05,0.0316227766
0.000419,36.9,0.05,0.0316227766
0.00042,36.7,0.05,0.0316227766
0.000421,36.4,0.05,0.0316227766
0.000422,36.5,0.05,0.0316227766
0.000423,36.4,0.05,0.0316227766
0.000424,36.6,0.05,0.0316227766
0.000425,36.4,0.05,0.0316227766
0.000426,36.4,0.05,0.0316227766
0.000427,36.4,0.05,0.0316227766
0.000428,36.3,0.05,0.0316227766
0.000429,36.4,0.05,0.0316227766
0.00043,36.3,0.05,0.0316227766
0.000431,36.3,0.05,0.0316227766
0.000432,36.1,0.05,0.0316227766
0.000433,36.3,0.05,0.0316227766
0.000434,36.1,0.05,0.0316227766
0.000435,35.8,0.05,0.0316227766
0.000436,35.9,0.05,0.0316227766
0.000437,35.7,0.05,0.0316227766
0.000438,35.7,0.05,0.0316227766
0.000439,35.9,0.05,0.0316227766
0.00044,35.7,0.05,0.0316227766
0.000441,35.6,0.05,0.0316227766
0.000442,35.5,0.05,0.0316227766
0.000443,35.5,0.05,0.0316227766
0.000444,35.4,0.05,0.0316227766
0.000445,35.4,0.05,0.0316227766
0.000446,35.4,0.05,0.0316227766
0.000447,35.4,0.05,0.0316227766
0.000448,35.5,0.05,0.0316227766
0.000449,35.3,0.05,0.0316227766
0.00045,35.2,0.05,0.0316227766
0.000451,35.1,0.05,0.0316227766
0.000452,35.1,0.05,0.0316227766
0.000453,35,0.05,0.0316227766
0.000454,35.3,0.05,0.0316227766
0.000455,35.1,0.05,0.0316227766
0.000456,35,0.05,0.0316227766
0.000457,35,0.05,0.0316227766
0.000458,34.8,0.05,0.0316227766
0.000459,34.9,0.05,0.0316227766
0.00046,34.9,0.05,0.0316227766
0.000461,34.7,0.05,0.0316227766
0.000462,34.7,0.05,0.0316227766
0.000463,34.6,0.05,0.0316227766
0.000464,34.6,0.05,0.0316227766
0.000465,34.6,0.05,0.0316227766
0.000466,34.5,0.05,0.0316227766
0.000467,34.6,0.05,0.0316227766
0.000468,34.5,0.05,0.0316227766
0.000469,34.5,0.05,0.0316227766
0.00047,34.3,0.05,0.0316227766
0.000471,34.4,0.05,0.0316227766
0.000472,34.4,0.05,0.0316227766
0.000473,34.3,0.05,0.0316227766
0.000474,34.2,0.05,0.0316227766
0.000475,34.1,0.05,0.0316227766
0.000476,33.9,0.05,0.0316227766
0.000477,34,0.05,0.0316227766
0.000478,33.8,0.05,0.0316227766
0.000479,34.1,0.05,0.0316227766
0.00048,33.9,0.05,0.0316227766
0.000481,34.1,0.05,0.0316227766
0.000482,34,0.05,0.0316227766
0.000483,33.8,0.05,0.0316227766
0.000484,33.8,0.05,0.0316227766
0.000485,33.8,0.05,0.0316227766
0.000486,33.8,0.05,0.0316227766
0.000487,33.7,0.05,0.0316227766
0.000488,33.6,0.05,0.0316227766
0.000489,33.8,0.05,0.0316227766
0.00049,33.8,0.05,0.0316227766
0.000491,33.6,0.05,0.0316227766
0.000492,33.5,0.05,0.0316227766
0.000493,33.4,0.05,0.0316227766
0.000494,33.6,0.05,0.0316227766
0.000495,33.5,0.05,0.0316227766
0.000496,33.3,0.05,0.0316227766
