Time,H2O_ppm
0.000817788,4054.056389
0.000823121,4056.612276
0.000828455,4059.117533
0.000833789,4061.573215
0.000839122,4063.98035
0.000847668,4067.738378
0.000856213,4071.378399
0.000864758,4074.904309
0.000873304,4078.319866
0.000881849,4081.628705
0.000890395,4084.834334
0.00089894,4087.940141
0.000907486,4090.949402
0.000916031,4093.865276
0.000924577,4096.690821
0.000933122,4099.428986
0.000941668,4102.082623
0.000950213,4104.654486
0.000958759,4107.147236
0.000967304,4109.563443
0.000975849,4111.905592
0.000984395,4114.176083
0.00099294,4116.377235
0.001001486,4118.511289
