time,OH_ppm,Relative_Uncertainty,W
8.09E-05,36.3199949,0.05,5.21E-02
8.29E-05,36.26095373,0.05,5.21E-02
8.48E-05,36.20468245,0.05,5.21E-02
8.68E-05,36.15095852,0.05,5.21E-02
8.87E-05,36.09957713,0.05,5.21E-02
9.07E-05,36.05034979,0.05,5.21E-02
9.26E-05,36.00310309,0.05,5.21E-02
9.45E-05,35.95767745,0.05,5.21E-02
9.65E-05,35.91392606,0.05,5.21E-02
9.84E-05,35.8717138,0.05,5.21E-02
0.000100354,35.83091639,0.05,5.21E-02
0.000102295,35.79141945,0.05,5.21E-02
0.000104236,35.75311772,0.05,5.21E-02
0.000106177,35.71591433,0.05,5.21E-02
0.000108117,35.67972014,0.05,5.21E-02
0.000110058,35.64445309,0.05,5.21E-02
0.000111999,35.61003763,0.05,5.21E-02
0.00011394,35.57640423,0.05,5.21E-02
0.000115881,35.54348885,0.05,5.21E-02
0.000117821,35.51123251,0.05,5.21E-02
0.000119762,35.4795809,0.05,5.21E-02
0.000121703,35.448484,0.05,5.21E-02
0.000123644,35.41789571,0.05,5.21E-02
0.000125585,35.38777357,0.05,5.21E-02
0.000127525,35.35807844,0.05,5.21E-02
0.000129466,35.32877426,0.05,5.21E-02
0.000131407,35.29982778,0.05,5.21E-02
0.000133348,35.27120835,0.05,5.21E-02
0.000135288,35.24288771,0.05,5.21E-02
0.000137229,35.2148398,0.05,5.21E-02
0.00013917,35.18704059,0.05,5.21E-02
0.000141111,35.1594679,0.05,5.21E-02
0.000143052,35.13210129,0.05,5.21E-02
0.000144992,35.10492188,0.05,5.21E-02
0.000146933,35.07791228,0.05,5.21E-02
0.000148874,35.05105642,0.05,5.21E-02
0.000150815,35.02433947,0.05,5.21E-02
0.000152756,34.99774775,0.05,5.21E-02
0.000154696,34.97126863,0.05,5.21E-02
0.000156637,34.94489046,0.05,5.21E-02
0.000158578,34.91860249,0.05,5.21E-02
0.000160519,34.89239477,0.05,5.21E-02
0.00016246,34.86625815,0.05,5.21E-02
0.0001644,34.84018417,0.05,5.21E-02
0.000167334,34.80087939,0.05,5.21E-02
0.000170267,34.7616756,0.05,5.21E-02
0.0001732,34.72255116,0.05,5.21E-02
0.000176133,34.68348694,0.05,5.21E-02
0.000179066,34.644466,0.05,5.21E-02
0.000182,34.60547336,0.05,5.21E-02
0.000184933,34.56649577,0.05,5.21E-02
0.000187866,34.52752152,0.05,5.21E-02
0.000190799,34.48854028,0.05,5.21E-02
0.000193732,34.44954295,0.05,5.21E-02
0.000196665,34.41052151,0.05,5.21E-02
0.000199599,34.37146891,0.05,5.21E-02
0.000202532,34.33237897,0.05,5.21E-02
0.000205465,34.29324628,0.05,5.21E-02
0.000208398,34.25406612,0.05,5.21E-02
0.000211331,34.21483438,0.05,5.21E-02
0.000214265,34.17554751,0.05,5.21E-02
0.000217198,34.13620244,0.05,5.21E-02
0.000220131,34.09679653,0.05,5.21E-02
0.000223064,34.05732754,0.05,5.21E-02
0.000225997,34.0177936,0.05,5.21E-02
0.000230454,33.95759307,0.05,5.21E-02
0.000234911,33.89723467,0.05,5.21E-02
0.000239368,33.8367153,0.05,5.21E-02
0.000243826,33.77603298,0.05,5.21E-02
0.000248283,33.71518661,0.05,5.21E-02
0.00025274,33.65417587,0.05,5.21E-02
0.000257197,33.59300108,0.05,5.21E-02
0.000261654,33.53166307,0.05,5.21E-02
0.000266111,33.47016317,0.05,5.21E-02
0.000270568,33.4085031,0.05,5.21E-02
0.000275025,33.3466849,0.05,5.21E-02
0.000279482,33.28471085,0.05,5.21E-02
0.000283939,33.22258351,0.05,5.21E-02
0.000288396,33.16030561,0.05,5.21E-02
0.000292853,33.09788007,0.05,5.21E-02
0.00029731,33.03530989,0.05,5.21E-02
0.000304149,32.9390284,0.05,5.21E-02
0.000310988,32.84242559,0.05,5.21E-02
0.000317827,32.74551361,0.05,5.21E-02
0.000324666,32.64830481,0.05,5.21E-02
0.000331504,32.55081176,0.05,5.21E-02
0.000338343,32.4530472,0.05,5.21E-02
0.000345182,32.35502391,0.05,5.21E-02
0.000352021,32.25675454,0.05,5.21E-02
0.00035886,32.15825171,0.05,5.21E-02
0.000365699,32.05952819,0.05,5.21E-02
0.000372538,31.9605968,0.05,5.21E-02
0.000379377,31.86147004,0.05,5.21E-02
0.000386215,31.76215995,0.05,5.21E-02
0.000393054,31.66267887,0.05,5.21E-02
0.000399893,31.56303957,0.05,5.21E-02
0.000406732,31.463254,0.05,5.21E-02
0.000413571,31.36333345,0.05,5.21E-02
0.00042041,31.26328988,0.05,5.21E-02
0.000427249,31.16313576,0.05,5.21E-02
0.000434088,31.06288256,0.05,5.21E-02
0.000439065,30.98985382,0.05,5.21E-02
0.000444043,30.91678262,0.05,5.21E-02
0.000449021,30.84367358,0.05,5.21E-02
0.000453999,30.77053102,0.05,5.21E-02
0.000458977,30.69735901,0.05,5.21E-02
0.000463955,30.6241617,0.05,5.21E-02
0.000468933,30.55094336,0.05,5.21E-02
0.000473911,30.47770815,0.05,5.21E-02
0.000478889,30.4044601,0.05,5.21E-02
0.000483866,30.33120324,0.05,5.21E-02
0.000488844,30.25794162,0.05,5.21E-02
0.000493822,30.18467925,0.05,5.21E-02
0.0004988,30.11142003,0.05,5.21E-02
0.000503778,30.03816784,0.05,5.21E-02
0.000508756,29.96492657,0.05,5.21E-02
0.000513734,29.89170009,0.05,5.21E-02
0.000518712,29.81849214,0.05,5.21E-02
0.00052369,29.74530647,0.05,5.21E-02
0.000528667,29.6721468,0.05,5.21E-02
0.000536404,29.55850858,0.05,5.21E-02
0.00054414,29.44495577,0.05,5.21E-02
0.000551876,29.33150172,0.05,5.21E-02
0.000559612,29.21815958,0.05,5.21E-02
0.000567348,29.10494243,0.05,5.21E-02
0.000575085,28.99186314,0.05,5.21E-02
0.000582821,28.87893425,0.05,5.21E-02
0.000590557,28.76616801,0.05,5.21E-02
0.000598293,28.65357666,0.05,5.21E-02
0.00060603,28.54117242,0.05,5.21E-02
0.000613766,28.42896703,0.05,5.21E-02
0.000621502,28.31697169,0.05,5.21E-02
0.000629238,28.20519776,0.05,5.21E-02
0.000636974,28.09365697,0.05,5.21E-02
0.000644711,27.98236054,0.05,5.21E-02
0.000652447,27.87131848,0.05,5.21E-02
0.00065778,27.79491601,0.05,5.21E-02
0.000663114,27.71864312,0.05,5.21E-02
0.000668448,27.64250344,0.05,5.21E-02
0.000673781,27.56649992,0.05,5.21E-02
0.000679115,27.49063563,0.05,5.21E-02
0.000684448,27.41491413,0.05,5.21E-02
0.000689782,27.33933874,0.05,5.21E-02
0.000695115,27.2639123,0.05,5.21E-02
0.000700449,27.18863792,0.05,5.21E-02
0.000705783,27.11351896,0.05,5.21E-02
0.000711116,27.03855856,0.05,5.21E-02
0.00071645,26.96375938,0.05,5.21E-02
0.000721783,26.88912406,0.05,5.21E-02
0.000727117,26.8146559,0.05,5.21E-02
0.00073245,26.74035813,0.05,5.21E-02
0.000737784,26.66623333,0.05,5.21E-02
0.000743118,26.59228394,0.05,5.21E-02
0.000748451,26.5185128,0.05,5.21E-02
0.000753785,26.44492283,0.05,5.21E-02
0.000759118,26.37151668,0.05,5.21E-02
0.000764452,26.29829681,0.05,5.21E-02
0.000769786,26.22526575,0.05,5.21E-02
0.000775119,26.15242613,0.05,5.21E-02
0.000780453,26.07978049,0.05,5.21E-02
0.000785786,26.00733127,0.05,5.21E-02
0.00079112,25.93508084,0.05,5.21E-02
0.000796453,25.86303157,0.05,5.21E-02
0.000801787,25.79118584,0.05,5.21E-02
0.000807121,25.71954592,0.05,5.21E-02
0.000812454,25.64811408,0.05,5.21E-02
0.000817788,25.57689251,0.05,5.21E-02
