Pressure,Density,Temperature,k1,O2,H2O,OH,H,NH3,NH2,Ar
0.249775358195855,1.67E+18,1097,115622400000,5.00E-03,0,0,1.1968880909635E-06,3.00E-04,1.1968880909635E-06,0.994702606223818
0.358047496369603,1.89E+18,1394,555830600000,5.00E-03,0,0,1.06100795755968E-06,3.00E-04,1.06100795755968E-06,0.994702877984085
0.289353676010363,1.76E+18,1210,265570200000,5.00E-03,0,0,1.13960113960114E-06,3.00E-04,1.13960113960114E-06,0.994702720797721
0.266237266632124,1.67E+18,1170,130075200000,7.44E-03,0,0,1.19760479041916E-06,7.38E-04,1.19760479041916E-06,0.991822104790419
0.272072575984456,1.69E+18,1185,154163200000,7.44E-03,0,0,1.18694362017804E-06,7.38E-04,1.18694362017804E-06,0.99182212611276
0.2680824916,1.70E+18,1158,140914800000,7.44E-03,0,0,1.17716303708064E-06,7.38E-04,1.17716303708064E-06,0.991822145673926
0.259446915055613,1.69E+18,1126,97556400000,1.85E-02,0,0,1.18273211117682E-06,7.38E-04,1.18273211117682E-06,0.980770134535778
0.287327498542314,1.77E+18,1190,187284200000,1.85E-02,0,0,1.12866817155756E-06,7.38E-04,1.12866817155756E-06,0.980770242663657
0.25090072468601,1.68E+18,1098,77081600000,1.85E-02,0,0,1.19260584376863E-06,7.38E-04,1.19260584376863E-06,0.980770114788312
0.267867610506045,1.71E+18,1153,129473000000,1.85E-02,0,0,1.17302052785924E-06,7.38E-04,1.17302052785924E-06,0.980770153958944
0.227416414893264,1.61E+18,1036,73468400000,3.70E-02,0,0,1.24146492861577E-06,7.38E-04,1.24146492861577E-06,0.962270017070143
0.218091365720207,1.56E+18,1026,58232740000,3.70E-02,0,0,1.28205128205128E-06,7.38E-04,1.28205128205128E-06,0.962269935897436
0.231209059388601,1.63E+18,1041,66242000000,3.70E-02,0,0,1.22699386503067E-06,7.38E-04,1.22699386503067E-06,0.96227004601227
0.630194333734024,2.98E+18,1552,957498000000,8.73E-04,4.15E-04,6.71140939597315E-07,6.71140939597315E-07,0,0,0.998711157718121
0.52199536686494,2.76E+18,1387,1025546600000,8.73E-04,4.15E-04,7.24112961622013E-07,7.24112961622013E-07,0,0,0.998711051774077
0.558829283846632,2.86E+18,1436,697347600000,8.73E-04,4.15E-04,7.00280112044818E-07,7.00280112044818E-07,0,0,0.998711099439776
0.635337717788256,2.99E+18,1561,1026319200000,8.73E-04,4.15E-04,6.69568128557081E-07,6.69568128557081E-07,0,0,0.998711160863743
0.512067233530915,2.79E+18,1346,767805000000,8.73E-04,4.15E-04,7.16332378223496E-07,7.16332378223496E-07,0,0,0.998711067335243
0.705562821428325,3.04E+18,1705,1569935400000,8.73E-04,4.15E-04,6.58544616397761E-07,6.58544616397761E-07,0,0,0.998711182910767
0.623983629699482,2.96E+18,1545,786473200000,8.73E-04,4.15E-04,6.7476383265857E-07,6.7476383265857E-07,0,0,0.998711150472335
0.532786022281865,2.78E+18,1406,371557400000,1.24E-03,1.26E-03,7.19165767709457E-07,7.19165767709457E-07,0,0,0.997497561668465
0.599670590158204,2.90E+18,1516,804539200000,1.24E-03,1.26E-03,6.88942473303479E-07,6.88942473303479E-07,0,0,0.997497622115053
0.637981967952677,2.97E+18,1577,828627200000,1.24E-03,1.26E-03,6.73627484001347E-07,6.73627484001347E-07,0,0,0.997497652745032
0.593907770813471,2.88E+18,1515,656398000000,1.24E-03,1.26E-03,6.95168578380257E-07,6.95168578380257E-07,0,0,0.997497609662843
0.680516978765112,3.03E+18,1651,1097810600000,1.24E-03,1.26E-03,6.61157024793388E-07,6.61157024793388E-07,0,0,0.99749767768595
0.456876720978238,2.64E+18,1272,306519800000,1.65E-03,1.25E-03,7.58725341426404E-07,7.58725341426404E-07,0,0,0.997098482549317
0.485643808204491,2.70E+18,1322,347527100000,1.65E-03,1.25E-03,7.41839762611276E-07,7.41839762611276E-07,0,0,0.997098516320475
0.431797358499482,2.59E+18,1224,291464800000,1.65E-03,1.25E-03,7.72499034376207E-07,7.72499034376207E-07,0,0,0.997098455001931
0.49724711475924,2.77E+18,1316,396247600000,1.65E-03,1.25E-03,7.21240533717995E-07,7.21240533717995E-07,0,0,0.997098557518933
0.519698033165458,2.74E+18,1393,387816800000,1.89E-03,0,0,7.30460189919649E-07,1.01E-04,7.30460189919649E-07,0.99801103907962
0.482355596055268,2.69E+18,1315,434788400000,1.89E-03,0,0,7.42942050520059E-07,1.01E-04,7.42942050520059E-07,0.998011014115899
0.548920499349223,2.83E+18,1424,456467600000,1.89E-03,0,0,7.06963591375044E-07,1.01E-04,7.06963591375044E-07,0.998011086072817
0.532793380290155,2.79E+18,1404,541980000000,1.89E-03,0,0,7.18132854578097E-07,1.01E-04,7.18132854578097E-07,0.998011063734291
0.500445259436615,2.75E+18,1337,472124800000,1.89E-03,0,0,7.28066982162359E-07,1.01E-04,7.28066982162359E-07,0.998011043866036
0.419967316281865,2.54E+18,1212,305917600000,2.45E-03,2.50E-03,7.86472670074715E-07,7.86472670074715E-07,0,0,0.99504842705466
0.473142960897755,2.67E+18,1301,328199000000,2.55E-03,2.50E-03,7.49344323716748E-07,7.49344323716748E-07,0,0,0.994948501311353
0.479607243699482,2.72E+18,1295,360115600000,2.55E-03,2.50E-03,7.35835172921266E-07,7.35835172921266E-07,0,0,0.994948528329654
0.523695611817617,2.77E+18,1388,438401600000,2.55E-03,2.50E-03,7.22282412423258E-07,7.22282412423258E-07,0,0,0.994948555435175
0.511457608918135,2.76E+18,1359,425153200000,2.55E-03,2.50E-03,7.24112961622013E-07,7.24112961622013E-07,0,0,0.994948551774077
0.518361600844905,2.73E+18,1394,440810400000,2.55E-03,2.50E-03,7.32869182850861E-07,7.32869182850861E-07,0,0,0.994948534261634
0.583401761309845,2.86E+18,1496,653387000000,2.55E-03,2.50E-03,6.98812019566737E-07,6.98812019566737E-07,0,0,0.994948602375961
0.365213923925389,2.41E+18,1114,102374000000,4.95E-03,0,0,8.31255195344971E-07,5.13E-04,8.31255195344971E-07,0.994535837489609
0.336420811151295,2.30E+18,1073,58232740000,4.95E-03,0,0,8.69187309865276E-07,5.13E-04,8.69187309865276E-07,0.99453576162538
0.355337296649395,2.36E+18,1105,86114600000,4.95E-03,0,0,8.47457627118644E-07,5.13E-04,8.47457627118644E-07,0.994535805084746
0.400453878296373,2.48E+18,1186,137903800000,4.95E-03,0,0,8.07102502017756E-07,5.13E-04,8.07102502017756E-07,0.994535885794996
0.414010599792746,2.53E+18,1200,165002800000,4.95E-03,0,0,7.89889415481833E-07,5.13E-04,7.89889415481833E-07,0.994535920221169
0.418357956357513,2.57E+18,1197,204145800000,5.00E-03,0,0,7.79727095516569E-07,3.00E-04,7.79727095516569E-07,0.994703440545809
0.409168757818998,2.58E+18,1163,154163200000,5.00E-03,0,0,7.74593338497289E-07,3.00E-04,7.74593338497289E-07,0.994703450813323
0.431538601874611,2.64E+18,1201,172229200000,5.00E-03,0,0,7.58437618505878E-07,3.00E-04,7.58437618505878E-07,0.994703483124763
0.365214741481865,2.43E+18,1103,113815800000,5.00E-03,0,0,8.23045267489712E-07,3.00E-04,8.23045267489712E-07,0.994703353909465
0.426177202759931,2.57E+18,1217,219200800000,5.00E-03,0,0,7.78210116731517E-07,3.00E-04,7.78210116731517E-07,0.994703443579767
0.360646780927807,2.43E+18,1091,89125600000,1.27E-02,0,0,8.24402308326463E-07,5.38E-04,8.24402308326463E-07,0.986750851195383
0.344433273401036,2.36E+18,1072,81899200000,1.27E-02,0,0,8.48176420695505E-07,5.38E-04,8.48176420695505E-07,0.986750803647159
0.340092048509845,2.34E+18,1068,66242000000,1.27E-02,0,0,8.55798031664527E-07,5.38E-04,8.55798031664527E-07,0.986750788403937
0.351436462180311,2.40E+18,1076,71661800000,1.27E-02,0,0,8.34376303712975E-07,5.38E-04,8.34376303712975E-07,0.986750831247393
0.286120648923316,2.17E+18,969,39986080000,1.27E-02,0,0,9.22934933087218E-07,5.38E-04,9.22934933087218E-07,0.986750654130134
0.878903870803109,5.06E+18,1275,237266800000,2.50E-03,0,0,3.95335046451868E-07,1.50E-04,3.95335046451868E-07,0.997349109329907
0.724903209959585,4.68E+18,1137,151754400000,2.50E-03,0,0,4.27441761060056E-07,1.50E-04,4.27441761060056E-07,0.997349045116478
0.796309001411399,4.87E+18,1201,231847000000,2.50E-03,0,0,4.1101520756268E-07,1.50E-04,4.1101520756268E-07,0.997349077969585
0.816439694536788,4.96E+18,1209,285442800000,2.50E-03,0,0,4.03551251008878E-07,1.50E-04,4.03551251008878E-07,0.997349092897498
0.930666777827288,5.19E+18,1315,378181600000,2.50E-03,0,0,3.85059684251059E-07,1.50E-04,3.85059684251059E-07,0.997349129880631
0.838124971302591,5.01E+18,1227,242084400000,2.50E-03,0,0,3.98962696987832E-07,1.50E-04,3.98962696987832E-07,0.997349102074606
0.721578752806563,4.63E+18,1145,138506000000,6.21E-03,0,0,4.32432432432432E-07,3.00E-04,4.32432432432432E-07,0.993486135135135
0.785640298168912,4.83E+18,1193,202941400000,6.21E-03,0,0,4.13821642871922E-07,3.00E-04,4.13821642871922E-07,0.993486172356714
0.665546429601727,4.48E+18,1091,86716800000,6.21E-03,0,0,4.46727719454992E-07,3.00E-04,4.46727719454992E-07,0.993486106544561
