Pressure,Density,Temperature,k1,H2,O,He
0.020526315789474,2.83E+18,1466,1.59E+12,3.78E-04,7.06214689265537E-07,0.999621793785311
0.020947368421053,2.97E+18,1547,2.78E+12,3.78E-04,6.73854447439353E-07,0.999621826145552
0.020368421052632,2.96E+18,1633,2.57E+12,3.78E-04,6.76132521974307E-07,0.999621823867478
0.020394736842105,3.00E+18,1664,2.95E+12,3.78E-04,6.66444518493835E-07,0.999621833555482
0.020131578947368,3.08E+18,1847,4.93E+12,3.78E-04,6.4998375040624E-07,0.99962185001625
0.020171052631579,3.05E+18,1744,4.71E+12,3.78E-04,6.55093350802489E-07,0.999621844906649
0.020631578947368,3.20E+18,1899,5.06E+12,3.78E-04,6.24609618988132E-07,0.999621875390381
0.020789473684211,2.55E+18,1175,4.02E+11,1.24E-03,7.84313725490196E-07,0.998761215686275
0.020026315789474,2.62E+18,1312,9.70E+11,1.24E-03,7.63941940412529E-07,0.99876123605806
0.020236842105263,2.68E+18,1344,1.04E+12,1.24E-03,7.45990302126072E-07,0.998761254009698
0.01996052631579,2.72E+18,1430,1.45E+12,1.24E-03,7.35294117647059E-07,0.998761264705882
0.02046052631579,2.88E+18,1493,1.94E+12,1.24E-03,6.94927032661571E-07,0.998761305072967
0.020144736842105,2.90E+18,1562,1.92E+12,1.24E-03,6.9060773480663E-07,0.998761309392265
0.020236842105263,3.02E+18,1700,3.01E+12,1.24E-03,6.62251655629139E-07,0.998761337748344
0.020947368421053,2.98E+18,1541,2.04E+12,1.24E-03,6.71817265703729E-07,0.998761328182734
0.020342105263158,2.97E+18,1630,2.59E+12,1.24E-03,6.74081563869228E-07,0.998761325918436
0.020315789473684,2.98E+18,1648,2.66E+12,1.24E-03,6.71591672263264E-07,0.998761328408328
0.020592105263158,2.24E+18,1009,2.04E+11,1.24E-03,8.93655049151028E-07,0.998761106344951
0.020723684210526,2.36E+18,1086,3.38E+11,1.24E-03,8.46381718154888E-07,0.998761153618282
0.020368421052632,2.31E+18,1083,4.25E+11,1.24E-03,8.64304235090752E-07,0.998761135695765
0.020144736842105,2.39E+18,1143,4.50E+11,1.24E-03,8.36120401337793E-07,0.998761163879599
0.020434210526316,2.49E+18,1198,5.95E+11,1.24E-03,8.03535556448373E-07,0.998761196464444
0.02,2.51E+18,1257,6.74E+11,1.24E-03,7.96812749003984E-07,0.998761203187251
0.020026315789474,2.55E+18,1290,8.67E+11,1.24E-03,7.83392087739914E-07,0.998761216607912
0.020513157894737,2.72E+18,1379,1.05E+12,1.24E-03,7.36377025036819E-07,0.998761263622975
0.02046052631579,2.71E+18,1384,1.11E+12,1.24E-03,7.36919675755343E-07,0.998761263080324
0.020236842105263,2.76E+18,1453,1.35E+12,1.24E-03,7.25952813067151E-07,0.998761274047187
0.020605263157895,2.82E+18,1465,1.44E+12,1.24E-03,7.10227272727273E-07,0.998761289772727
0.020223684210526,2.41E+18,1144,3.72E+11,4.04E-03,8.29875518672199E-07,0.995961170124481
0.020052631578947,2.47E+18,1207,6.08E+11,4.04E-03,8.08407437348424E-07,0.995961191592563
0.02046052631579,2.56E+18,1237,5.90E+11,4.04E-03,7.8064012490242E-07,0.995961219359875
0.020421052631579,2.50E+18,1180,4.96E+11,4.04E-03,8.00961153384061E-07,0.995961199038847
0.020276315789474,2.43E+18,1146,4.31E+11,4.04E-03,8.22368421052632E-07,0.995961177631579
0.02,2.27E+18,1057,3.25E+11,4.04E-03,8.81834215167549E-07,0.995961118165785
0.020723684210526,2.30E+18,1025,2.44E+11,4.04E-03,8.7070091423596E-07,0.995961129299086
0.02021052631579,2.20E+18,1006,2.06E+11,4.04E-03,9.10746812386157E-07,0.995961089253188
0.020407894736842,2.13E+18,954,1.34E+11,4.04E-03,9.39849624060151E-07,0.995961060150376
0.020763157894737,2.08E+18,907,1.22E+11,4.04E-03,9.63855421686747E-07,0.995961036144578
0.020289473684211,1.99E+18,907,9.82E+10,5.57E-03,1.00300902708124E-06,0.994425996990973
0.020802631578947,2.16E+18,941,1.33E+11,5.57E-03,9.25925925925926E-07,0.994426074074074
0.020078947368421,1.97E+18,880,8.01E+10,5.57E-03,1.01471334348047E-06,0.994425985286656
0.020105263157895,2.12E+18,957,1.46E+11,5.57E-03,9.45179584120983E-07,0.994426054820416
0.020078947368421,2.19E+18,1000,1.87E+11,5.57E-03,9.14076782449726E-07,0.994426085923218
0.019842105263158,2.22E+18,1036,2.45E+11,5.57E-03,9.0049527239982E-07,0.994426099504728
