A_1,n_1,,A_1,Ea_1,,n_1,Ea_1,,A_1,A_0,,n_1,A_0,,Ea_1,A_0
,,,20.8376627647954,9089.6336996337,,,,,18.1948644928519,20.8523050259965,,-0.327136351987819,20.7769714845878,,12730.8722699642,20.9065465912916
,,,19.6431301833708,8384.23809523809,,,,,17.9815891788349,20.8769324090121,,-0.486913373954713,20.9133443719319,,12913.138867988,20.894670861137
,,,17.3923031626506,7404.52197802197,,,,,18.4355064822462,20.8998613518198,,-0.402847950975684,20.95849640354,,12849.6634655367,20.8768706066966
,,,16.1969954140739,6816.69230769231,,,,,19.8231239422036,20.9210918544194,,-0.046418127352752,20.9933796274411,,12480.467635586,20.8633212135913
,,,14.3694096584139,5836.97619047619,,,,,21.217207789592,20.9304332755633,,0.427113924806493,21.0120531793403,,11988.3478209215,20.8463856850088
,,,12.1896396266384,4778.88278388278,,,,,23.2780223695921,20.9389254766031,,1.04913587428438,21.005138222993,,11006.5454774964,20.8320128012197
,,,10.6398221004899,4465.37362637362,,,,,24.9423088346305,20.9414731369151,,1.41458188011136,21.0008200326928,,10179.3518355345,20.8295023067937
,,,9.72615841718522,3955.92124542124,,,,,27.2099323412165,20.9372270363951,,1.81184811518624,20.9734881556915,,9445.41087163139,20.8380088806606
,,,8.45824334535946,3681.60073260073,,,,,28.6187965027328,20.9193934142114,,2.084726181383,20.9470279630675,,8526.97796170524,20.8405885046433
,,,,,,,,,29.1619730469318,20.9007105719237,,2.25664193141472,20.9180270847899,,8253.79000257411,20.8600975932123
,,,,,,,,,29.0407282826017,20.8786308492201,,2.37444707070757,20.8796607807963,,8349.16205967962,20.8880695948756
,,,,,,,,,28.3184559008064,20.8590987868284,,2.40675393047922,20.8413078873316,,8811.18669187969,20.9092450695998
,,,,,,,,,27.0627065559585,20.8404159445407,,2.29910044461252,20.8046812946758,,9548.62463121003,20.9287141357939
,,,,,,,,,25.6695464782031,20.8293760831889,,2.05898883368207,20.7783015652252,,10161.9729273508,20.9354718531572
,,,,,,,,,24.5401226306668,20.823431542461,,1.64779955862192,20.7545051912929,,10836.5712779439,20.9422271449221
,,,,,,,,,21.8833611661831,20.8081455805893,,1.05721934798456,20.7503369550884,,11571.6779003228,20.9430457844088
,,,,,,,,,20.4818871617307,20.8123916811092,,0.582686999748707,20.7631939948697,,12397.7058838089,20.9362310654813
,,,,,,,,,19.1461162724249,20.8183362218371,,0.06105963082481,20.7905453780948,,13069.9729174504,20.9243359305388
,,,,,,,,,17.8732771893667,20.8310745233969,,-0.243260174212474,20.8280887632706,,13312.6418183078,20.9056758014375
,,,,,,,,,17.1325294149116,20.8455112651646,,-0.454471339037577,20.8707305876996,,13371.8784626656,20.8895661891373
,,,,,,,,,16.9211016401606,20.8667417677643,,-0.238623666722233,20.9269402099407,,13154.748079322,20.8675332653506
,,,,,,,,,17.1751382892333,20.8896707105719,,-0.107382117967869,20.9550413636443,,12877.533300002,20.854827980516
,,,,,,,,,17.8298600166161,20.9109012131716,,0.148463879897393,20.9754534077423,,12078.6333683148,20.8336658465834
,,,,,,,,,19.1531600158765,20.9278856152513,,0.575468646979644,20.9907255618614,,11188.9180444726,20.8209848177336
,,,,,,,,,20.5467819784484,20.9380762564991,,0.97966936701806,20.9898099884804,,10208.5992663802,20.8184803873037
,,,,,,,,,22.0750433650288,20.945719237435,,1.36864936567452,20.9786707155351,,9504.64751598915,20.8218992683603
,,,,,,,,,23.9382867147728,20.9499653379549,,1.71126428942857,20.9590169758884,,8127.36904243312,20.8287358176742
,,,,,,,,,26.0698851429008,20.9508145580589,,1.98419642568353,20.9308524269574,,7884.38223471873,20.8448527067699
,,,,,,,,,27.7374048016547,20.947417677643,,2.14089145433329,20.8916278491154,,7733.90632239669,20.866052437479
,,,,,,,,,28.9408456910345,20.9397746967071,,2.16542574323938,20.8532761747897,,7921.04749222819,20.893173054076
,,,,,,,,,29.8148472350486,20.9253379549393,,2.11995282429719,20.816639829022,,8413.69715165436,20.914347316001
,,,,,,,,,30.2955538578166,20.8990121317158,,1.91076928665441,20.7953682919365,,8966.9610518187,20.9304326723165
,,,,,,,,,30.0415172087439,20.8760831889081,,1.42968094386238,20.769878533948,,9550.21416549512,20.9414303358216
,,,,,,,,,29.3854098269116,20.8574003466205,,1.09554150173043,20.767374422464,,10255.5435122666,20.9490321614558
,,,,,,,,,28.7269930209969,20.8429636048527,,0.566493017319238,20.7836487088323,,11021.5930687286,20.9523928281488
,,,,,,,,,27.201964828132,20.8293760831889,,0.169226782244361,20.8109805858336,,11940.3438855117,20.9523564441716
,,,,,,,,,25.7412540959641,20.8200346620451,,-0.096013888232323,20.8417004500862,,12552.3145852722,20.9480934548443
,,,,,,,,,24.2143783638331,20.8098440207972,,-0.23740709041284,20.888592193032,,13255.5245529969,20.9387403471081
,,,,,,,,,22.9493913226553,20.8081455805893,,-0.036726069421258,20.9328737594017,,13743.8294853771,20.925156995624
,,,,,,,,,21.3558887057449,20.7979549393414,,0.133513508806413,20.9567079266427,,13924.6125180682,20.9014128121102
,,,,,,,,,19.6888309318075,20.8005025996534,,0.381776181009795,20.971155942805,,13829.8762746768,20.878527290458
,,,,,,,,,17.6826342313581,20.8140901213172,,0.74689776648761,20.9770638903472,,13336.8027394412,20.8539620418589
,,,,,,,,,16.8761833417564,20.8268284228769,,1.18232394513377,20.9718825496426,,12721.9708779676,20.8353358711364
,,,,,,,,,16.0669611432558,20.8446620450607,,1.48588676935632,20.9582001527656,,11433.0705106627,20.8141931419916
,,,,,,,,,15.9221602532844,20.8658925476603,,1.71979384110887,20.9351547684507,,10207.0097320951,20.805764187276
,,,,,,,,,16.042019363165,20.8905199306759,,1.90736287298811,20.9027427392809,,8952.4433053482,20.81429137873
