Time,OH_ppm,Relative_Uncertainty,W
1.8556782831489705e-05,0.00781234679592,0.25,1e-10
1.94649831343852e-05,0.008469502925327,0.25,1e-10
2.03731834372807e-05,0.009159982748923,0.25,1e-10
2.12813837401763e-05,0.009885327685446,0.25,1e-10
2.2189584043071806e-05,0.010647151799841,0.25,1e-10
2.30977843459673e-05,0.011447145585851,0.25,1e-10
2.40059846488629e-05,0.012287079856646005,0.25,1e-10
2.49141849517584e-05,0.013168809459032,0.25,1e-10
2.6454138895463e-05,0.014764910633137,0.25,1e-10
2.79940928391677e-05,0.016496889192931,0.25,1e-10
2.9534046782872303e-05,0.018375652312283,0.25,1e-10
3.1074000726577e-05,0.020412996334544,0.25,1e-10
3.2613954670281604e-05,0.022621679379775998,0.25,1e-10
3.41539086139862e-05,0.025015499267341,0.25,1e-10
3.56938625576909e-05,0.027609377488652,0.25,1e-10
3.72338165013955e-05,0.030419450183847,0.25,1e-10
3.877377044510021e-05,0.033463166684627,0.25,1e-10
4.03137243888048e-05,0.036759396014375,0.25,1e-10
4.1853678332509494e-05,0.040328541902319,0.25,1e-10
4.33936322762141e-05,0.044192667052555,0.25,1e-10
4.49335862199187e-05,0.048375627465217,0.25,1e-10
4.64735401636234e-05,0.052903217617357,0.25,1e-10
4.761295036725301e-05,0.056491315687515,0.25,1e-10
4.875236057088271e-05,0.06029538929675,0.25,1e-10
4.98917707745123e-05,0.064328244481563,0.25,1e-10
5.1031180978142e-05,0.068603448140705,0.25,1e-10
5.2170591181771705e-05,0.073135373140884,0.25,1e-10
5.331000138540129e-05,0.077939246358467,0.25,1e-10
5.4449411589031e-05,0.08303119932256799,0.25,1e-10
5.55888217926606e-05,0.088428321591876,0.25,1e-10
5.67282319962903e-05,0.09414871726574499,0.25,1e-10
5.78676421999199e-05,0.10021156492619,0.25,1e-10
5.90070524035496e-05,0.10663718114064699,0.25,1e-10
6.01464626071792e-05,0.113447087643661,0.25,1e-10
6.12858728108089e-05,0.120664082403865,0.25,1e-10
6.24252830144385e-05,0.128312314839642,0.25,1e-10
6.35646932180682e-05,0.136417365441007,0.25,1e-10
6.47041034216978e-05,0.145006330036871,0.25,1e-10
6.58435136253275e-05,0.15410790895546694,0.25,1e-10
6.69829238289571e-05,0.163752501353685,0.25,1e-10
6.81223340325868e-05,0.17397230501462602,0.25,1e-10
6.92617442362164e-05,0.184801421924679,0.25,1e-10
7.040115443984609e-05,0.196275969959557,0.25,1e-10
7.15405646434758e-05,0.20843420096874,0.25,1e-10
7.267997484710541e-05,0.221316625721844,0.25,1e-10
7.381938505073509e-05,0.234966145996623,0.25,1e-10
7.49587952543647e-05,0.24942819420788395,0.25,1e-10
7.609820545799441e-05,0.26475088103870104,0.25,1e-10
7.7237615661624e-05,0.280985151507742,0.25,1e-10
7.83770258652537e-05,0.298184949898425,0.25,1e-10
7.95164360688833e-05,0.31640739402475104,0.25,1e-10
8.0655846272513e-05,0.3357129593527729,0.25,1e-10
8.17952564761426e-05,0.356165673505135,0.25,1e-10
8.29346666797723e-05,0.377833321684141,0.25,1e-10
8.4074076883402e-05,0.4007876635802539,0.25,1e-10
8.52134870870316e-05,0.42510466236837297,0.25,1e-10
8.635289729066129e-05,0.450864726416313,0.25,1e-10
8.74923074942909e-05,0.47815296434812105,0.25,1e-10
8.86317176979206e-05,0.507059454131556,0.25,1e-10
8.977112790155021e-05,0.537679526889522,0.25,1e-10
9.09105381051799e-05,0.570114066161005,0.25,1e-10
9.20499483088095e-05,0.60446982335954,0.25,1e-10
9.318935851243921e-05,0.6408597502294521,0.25,1e-10
9.43287687160688e-05,0.679403348963088,0.25,1e-10
9.54681789196985e-05,0.720227041036176,0.25,1e-10
9.660758912332807e-05,0.763464555488047,0.25,1e-10
9.77469993269578e-05,0.8092573374118499,0.25,1e-10
9.888640953058741e-05,0.8577549776193809,0.25,1e-10
0.00010002581973399999,0.9091156644507601,0.25,1e-10
0.000101165229938,0.963506658592932,0.25,1e-10
0.000102304640141,1.02110479177651,0.25,1e-10
0.000103444050345,1.08209699030388,0.25,1e-10
0.00010458346054899999,1.14668082437325,0.25,1e-10
0.00010572287075199999,1.21506508410805,0.25,1e-10
0.000106862280956,1.28747038317485,0.25,1e-10
0.00010800169115999999,1.3641297908824501,0.25,1e-10
0.000109141101363,1.4452894936373502,0.25,1e-10
0.00011028051156699999,1.53120948657103,0.25,1e-10
0.000111419921771,1.6221642960901002,0.25,1e-10
0.000112559331974,1.71844373404224,0.25,1e-10
0.00011369874217799999,1.82035368411414,0.25,1e-10
0.000114838152381,1.9282169209675601,0.25,1e-10
0.00011597756258499999,2.04237396246815,0.25,1e-10
0.000117116972789,2.16318395530457,0.25,1e-10
0.00011825638299200001,2.29102559399439,0.25,1e-10
0.00011939579319600004,2.42629807299463,0.25,1e-10
0.0001205352034,2.56942207165359,0.25,1e-10
0.00012167461360299998,2.7208407713677003,0.25,1e-10
0.00012281402380700005,2.88102090376235,0.25,1e-10
0.00012395343401,3.05045382836959,0.25,1e-10
0.000125092844214,3.2296566380072798,0.25,1e-10
0.00012623225441799998,3.41917328953411,0.25,1e-10
0.000127371664621,3.61957575691352,0.25,1e-10
0.000128511074825,3.83146520282754,0.25,1e-10
0.000129650485029,4.05547316442737,0.25,0.079555728417573
0.00013078989523200002,4.29226274798103,0.25,0.079555728417573
0.000131929305436,4.542529826145,0.25,0.079555728417573
0.000133068715639,4.80700423047724,0.25,0.079555728417573
0.000134208125843,5.086450930666151,0.25,0.079555728417573
0.00013534753604700002,5.3816711906753305,0.25,0.079555728417573
0.00013648694625,5.6935036905488,0.25,0.079555728417573
0.00013762635645399998,6.02282560103773,0.25,0.079555728417573
0.000138765766658,6.3705535959376105,0.25,0.079555728417573
0.000139905176861,6.7376447894313385,0.25,0.079555728417573
0.000141044587065,7.1250975718967,0.25,0.079555728417573
0.00014218399726899998,7.533952332978901,0.25,0.079555728417573
0.00014332340747199999,7.965292045967572,0.25,0.079555728417573
0.000144462817676,8.42024268850462,0.25,0.079555728417573
0.000145602227879,8.899973472074528,0.25,0.079555728417573
0.000146741638083,9.405696854105859,0.25,0.079555728417573
0.00014788104828699998,9.93866829310056,0.25,0.079555728417573
0.00014902045849000001,10.500185730216499,0.25,0.079555728417573
0.000150159868694,11.0915887427739,0.25,0.079555728417573
0.000151299278898,11.714257338419001,0.25,0.079555728417573
0.00015243868910100002,12.3696103474651,0.25,0.079555728417573
0.000153578099305,13.0591033752499,0.25,0.079555728417573
