Temp_klip_ttl,k_klip_ttl,,temp_experimental,experimental_data,,temp_klip,k_klip,,T_original_low_b,k_original_low_b,,T_original_b,k_original_b,,T_original_high_b,k_original_high_b,,T_original_low_r,k_original_low_r,,T_original_r,k_original_r,,T_original_high_r,k_original_high_r
347.854002301117,1150528645051.96,,835.682815999017,579617405259.758,,935.588753936636,496278507039.812,,729.706264789733,184954251250.533,,1078.69955338034,656305953208.827,,655.371954223504,1796771680473.99,,736.005782634329,15665981535.7783,,771.283082564066,237464116540.21,,650.752307804134,4245131110075.95
351.028311965812,1100694171252.2,,798.193523110075,752895573928.571,,1018.28877935358,568083145510.466,,768.763275426227,195139284076.01,,1106.41743189656,676244714115.611,,676.790314895129,1725679870067.21,,767.923339713614,17723676549.5816,,799.000961080287,244487078390.803,,680.570025601887,3873330110086.88
354.207758053912,1060818355139.44,,829.598488136713,827261151635.902,,1100.98080457459,652553883855.065,,788.921732528933,200679071728.662,,1134.13531041278,695700284235.375,,713.327518393785,1609898609846.56,,791.441539666772,19311692777.0422,,826.718839596508,252308971355.22,,706.776019835405,3609688052171.92
360.59233234714,1022387155299.02,,874.347490406813,844344054258.13,,1183.66882969764,750896140121.049,,826.718839596508,211270409978.202,,1189.57106744522,740348369131.831,,734.74587906541,1566076638838.69,,831.758453872185,22623383223.5114,,854.436718112729,260584810140.567,,736.005782634329,3389948879541.19
366.966633793557,970911146870.751,,877.166869605632,779008589860.322,,1266.35085467374,866327085761.292,,846.877296699214,217676297663.645,,1217.28894596144,764632102345.996,,773.802889701904,1484836038220.47,,855.276653825342,24592643633.8843,,882.15459662895,270186475463.934,,759.188008302442,3217980002524.06
373.346071663379,928856699709.69,,922.223161161707,695201857376.045,,1349.03887979678,996885745185.381,,884.674403766789,231252981101.787,,1245.00682447767,789712352069.689,,793.96134680461,1453810037259.09,,887.194210904627,27779356390.268,,909.872475145172,279922942298.66,,791.441539666772,3032572417220.78
376.525517751479,895206190857.998,,945.999669664018,676890525745.141,,1431.72490487084,1148122923740.91,,906.092764438414,237677745132.12,,1272.72470299389,816891875731.698,,831.758453872185,1405263016968.5,,912.812250139316,30375537228.7991,,937.590353661393,290691442121.023,,811.599996769478,2943774305752.23
386.115220249835,862774768595.584,,945.84602502103,723889882035.393,,1514.42093018982,1316539349733.37,,942.629967937069,253323585361.96,,1300.44258151011,845667896349.372,,853.17681454381,1383681810019.9,,942.629967937069,33897669186.9539,,965.308232177614,302819949975.202,,849.397103837053,2781668987980.31
389.284393491124,819335058863.573,,961.425591819959,800662902036.908,,1597.12095560677,1507024391295.75,,964.048328608695,261007070335.281,,1328.16046002633,875457587670.823,,883.41450019787,1386980901366.11,,970.347846453291,37250278517.4545,,993.026110693836,314961505616.863,,869.555560939759,2711644379721.79
395.663831360947,783846041097.906,,897.263588908393,1197263544367.93,,1679.82898121965,1719050684342.15,,1003.10533924519,279029177137.87,,1355.87833854255,905588204416.058,,914.912089420848,1377207858198.18,,998.065724969512,41105555794.252,,1020.74398921006,327846154214.011,,907.352668007333,2597831658707.7
402.038132807363,744380301325.167,,916.215655620897,959478174377.522,,1762.54100693049,1957483288660.8,,1023.2637963479,288029636533.314,,1383.59621705877,937488662255.783,,941.37006436815,1332040703950.88,,1027.29548776844,45393484307.9132,,1048.46186772628,342594838298.268,,928.771028678959,2564612121849.01
411.622698882314,712137904942.44,,926.632762415447,1012486137705.21,,1845.25703273931,2225094324803.07,,1061.06090341547,307337286856.874,,1411.31409557499,970512852941.661,,1096.33820334521,1347069363074.54,,1053.50148200195,49651583804.4203,,1076.1797462425,357168108250.252,,967.828039315453,2481840883777.03
418.007273175543,686338658534.053,,971.351035756949,1047361774181.1,,1927.98705889101,2513866577355.73,,1081.21936051818,318394141969.141,,1439.03197409121,1004700361344.71,,1134.13531041278,1403015338696.8,,1085.75501336628,55254088406.8219,,1103.89762475872,373527874520.53,,987.986496418159,2447910511682.06
427.591839250493,656610301883.765,,968.854310308403,985939742747.543,,2055.8481903544,3028113877540.02,,1139.17492468846,350147847522.847,,1466.74985260744,1041720157758.38,,1154.29376751549,1410933769876.79,,1108.9372390344,59414197185.5977,,1131.61550327494,389112563656.273,,1028.30341062357,2442544419546.46
433.981549967127,637510261249.119,,974.216508348666,947050843070.407,,2138.59421689797,3397268928440.59,,1176.97203175603,374028768489.948,,1494.46773112366,1078416031016.57,,1187.05126030738,1434013543445.6,,1141.19077039873,65654568913.8747,,1159.33338179116,407253867970.871,,1048.46186772628,2444831610887.02
437.166132478632,618965818891.257,,1000.50510676382,972997547824.839,,2221.34224349052,3808098219425.63,,1198.39039242766,385624546707.805,,1522.18560963988,1116404561524.56,,1272.72470299389,1510958065158.73,,1164.37299606684,70487405714.8881,,1187.05126030738,425242162870.732,,1154.29376751549,2360355367163.11
443.555843195266,600960813093.509,,992.523267560622,1006156957269.47,,2304.09627023002,4257433054063.25,,1234.92759592631,412619629214.123,,1549.9034881561,1156635427887.34,,1313.0416171993,1576086780736.09,,1196.62652743117,77477718452.4447,,1214.76913882361,445067910493.855,,1177.60198354049,2390032109392.18
