Reaction,Uncertainty A (unit),Uncertainty N (unit),Uncertainty Ea (unit)
CH3CH2OH <=> C2H5 + OH,1.00E-09,1.00E-09,1.00E-09
CH3CH2OH <=> C2H4 + H2O,1.00E-09,1.00E-09,1.00E-09
CH3CHOH + H <=> CH3CH2OH,1.00E-09,1.00E-09,1.00E-09
CH3CH2OH + H <=> CH3CHOH + H2,1.00E-09,1.00E-09,1.00E-09
CH3CH2OH + H <=> CH2CH2OH + H2,1.00E-09,1.00E-09,1.00E-09
CH3CH2OH + H <=> CH3CH2O + H2,1.00E-09,1.00E-09,1.00E-09
CH3CH2OH + O <=> CH2CH2OH + OH,1.00E-09,1.00E-09,1.00E-09
CH3CH2OH + O <=> CH3CHOH + OH,1.00E-09,1.00E-09,1.00E-09
CH3CH2OH + O <=> CH3CH2O + OH,1.00E-09,1.00E-09,1.00E-09
CH3CH2OH + OH <=> CH3CHOH + H2O,1.00E-09,1.00E-09,1.00E-09
CH3CH2OH + OH <=> CH2CH2OH + H2O,1.00E-09,1.00E-09,1.00E-09
CH3CH2OH + OH <=> CH3CH2O + H2O,1.00E-09,1.00E-09,1.00E-09
CH3CH2OH + OH <=> CH3CH2O + H2O,1.00E-09,1.00E-09,1.00E-09
CH3CH2OH + HO2 <=> CH3CHOH + H2O2,1.00E-09,1.00E-09,1.00E-09
CH3CH2OH + HO2 <=> CH2CH2OH + H2O2,1.00E-09,1.00E-09,1.00E-09
CH3CH2OH + HO2 <=> CH3CH2O + H2O2,1.00E-09,1.00E-09,1.00E-09
CH3 + CH3CH2OH <=> CH3CHOH + CH4,1.00E-09,1.00E-09,1.00E-09
CH3 + CH3CH2OH <=> CH2CH2OH + CH4,1.00E-09,1.00E-09,1.00E-09
CH3 + CH3CH2OH <=> CH3CH2O + CH4,1.00E-09,1.00E-09,1.00E-09
CH3CHOH (+M) <=> CH3CHO + H (+M),1.00E-09,1.00E-09,1.00E-09
CH3CHOH (+M) <=> CH2CHOH + H (+M),1.00E-09,1.00E-09,1.00E-09
CH3CHOH (+M) <=> CH2O + CH3 (+M),1.00E-09,1.00E-09,1.00E-09
CH3CHOH + H <=> CH2CHOH + H2,1.00E-09,1.00E-09,1.00E-09
CH3CHOH + H <=> C2H4 + H2O,1.00E-09,1.00E-09,1.00E-09
CH3CHOH + H <=> CH2OH + CH3,1.00E-09,1.00E-09,1.00E-09
CH3CHOH + H <=> C2H5 + OH,1.00E-09,1.00E-09,1.00E-09
CH3CHOH + O <=> CH3CHO + OH,1.00E-09,1.00E-09,1.00E-09
CH3CHOH + OH <=> CH3CHO + H2O,1.00E-09,1.00E-09,1.00E-09
CH3CHOH + HO2 <=> CH3CHO + 2 OH,1.00E-09,1.00E-09,1.00E-09
CH3CHOH + O2 <=> CH3CHO + HO2,1.00E-09,1.00E-09,1.00E-09
CH3CHOH + O2 <=> CH2CHOH + HO2,1.00E-09,1.00E-09,1.00E-09
CH2CH2OH <=> CH2CHOH + H,1.00E-09,1.00E-09,1.00E-09
CH2CH2OH + H <=> C2H4 + H2O,1.00E-09,1.00E-09,1.00E-09
CH2CH2OH + H <=> CH2OH + CH3,1.00E-09,1.00E-09,1.00E-09
CH2CH2OH + H <=> C2H5 + OH,1.00E-09,1.00E-09,1.00E-09
CH2CH2OH + H (+M) <=> CH3CH2OH (+M),1.00E-09,1.00E-09,1.00E-09
CH2CH2OH + O <=> CH2O + CH2OH,1.00E-09,1.00E-09,1.00E-09
CH2CH2OH + OH <=> CH2CHOH + H2O,1.00E-09,1.00E-09,1.00E-09
CH2CH2OH + HO2 <=> CH3CH2OH + O2,1.00E-09,1.00E-09,1.00E-09
CH2CH2OH + HO2 => CH2O + CH2OH + OH,1.00E-09,1.00E-09,1.00E-09
CH2CH2OH + O2 <=> HOCH2CH2OO,1.00E-09,1.00E-09,1.00E-09
CH2CH2OH + O2 <=> CH2CHOH + HO2,1.00E-09,1.00E-09,1.00E-09
CH2CH2OH + O2 <=> CH2CHOH + HO2,1.00E-09,1.00E-09,1.00E-09
CH2CH2OH + O2 <=> 2 CH2O + OH,1.00E-09,1.00E-09,1.00E-09
CH3CH2O (+M) <=> CH2O + CH3 (+M),1.00E-09,1.00E-09,1.00E-09
CH3CHO + H <=> CH3CH2O,1.00E-09,1.00E-09,1.00E-09
CH3CH2O + H (+M) <=> CH2OH + CH3 (+M),1.00E-09,1.00E-09,1.00E-09
CH3CH2O + H <=> CH3CHO + H2,1.00E-09,1.00E-09,1.00E-09
CH3CH2O + OH <=> CH3CHO + H2O,1.00E-09,1.00E-09,1.00E-09
CH3CH2O + O2 <=> CH3CHO + HO2,1.00E-09,1.00E-09,1.00E-09
CH3CH2O + CO <=> C2H5 + CO2,1.00E-09,1.00E-09,1.00E-09
CH3CHO (+M) <=> CH3 + HCO (+M),1.00E-09,1.00E-09,1.00E-09
CH3CHO <=> CH2CO + H2,1.00E-09,1.00E-09,1.00E-09
CH3CHO <=> CH4 + CO,1.00E-09,1.00E-09,1.00E-09
CH3CHO <=> CH2CHOH,1.00E-09,1.00E-09,1.00E-09
CH3CHO + H <=> CH3CO + H2,1.00E-09,1.00E-09,1.00E-09
CH3CHO + H <=> CH2CHO + H2,1.00E-09,1.00E-09,1.00E-09
CH3CHO + O <=> CH3CO + OH,1.00E-09,1.00E-09,1.00E-09
CH3CHO + O <=> CH2CHO + OH,1.00E-09,1.00E-09,1.00E-09
CH3CHO + OH <=> CH3CO + H2O,1.00E-09,1.00E-09,1.00E-09
CH3CHO + OH <=> CH2CHO + H2O,1.00E-09,1.00E-09,1.00E-09
CH3CHO + HO2 <=> CH3CO + H2O2,1.00E-09,1.00E-09,1.00E-09
CH3CHO + HO2 <=> CH2CHO + H2O2,1.00E-09,1.00E-09,1.00E-09
CH3CHO + O2 <=> CH3CO + HO2,1.00E-09,1.00E-09,1.00E-09
CH3CHO + O2 <=> CH2CHO + HO2,1.00E-09,1.00E-09,1.00E-09
CH3 + CH3CHO <=> CH3CO + CH4,1.00E-09,1.00E-09,1.00E-09
CH3 + CH3CHO <=> CH2CHO + CH4,1.00E-09,1.00E-09,1.00E-09
CH3CHO + CH3O <=> CH3CO + CH3OH,1.00E-09,1.00E-09,1.00E-09
CH3CHO + CH3O <=> CH2CHO + CH3OH,1.00E-09,1.00E-09,1.00E-09
CH3CHO + CH3OO <=> CH3CO + CH3OOH,1.00E-09,1.00E-09,1.00E-09
CH3CHO + CH3OO <=> CH2CHO + CH3OOH,1.00E-09,1.00E-09,1.00E-09
C2H3 + CH3CHO <=> C2H4 + CH2CHO,1.00E-09,1.00E-09,1.00E-09
C2H3 + CH3CHO <=> C2H4 + CH3CO,1.00E-09,1.00E-09,1.00E-09
cC2H4O <=> CH2CHO + H,1.00E-09,1.00E-09,1.00E-09
cC2H4O <=> CH3 + HCO,1.00E-09,1.00E-09,1.00E-09
cC2H4O <=> CH3CO + H,1.00E-09,1.00E-09,1.00E-09
cC2H4O <=> CH2CO + H2,1.00E-09,1.00E-09,1.00E-09
cC2H4O <=> CH3CHO,1.00E-09,1.00E-09,1.00E-09
cC2H4O <=> C2H2 + H2O,1.00E-09,1.00E-09,1.00E-09
H + cC2H4O <=> CH3CHO + H,1.00E-09,1.00E-09,1.00E-09
H + cC2H4O <=> H2 + cC2H3O,1.00E-09,1.00E-09,1.00E-09
H + cC2H4O <=> C2H3 + H2O,1.00E-09,1.00E-09,1.00E-09
H + cC2H4O <=> C2H4 + OH,1.00E-09,1.00E-09,1.00E-09
O + cC2H4O <=> OH + cC2H3O,1.00E-09,1.00E-09,1.00E-09
OH + cC2H4O <=> H2O + cC2H3O,1.00E-09,1.00E-09,1.00E-09
HO2 + cC2H4O <=> H2O2 + cC2H3O,1.00E-09,1.00E-09,1.00E-09
O2 + cC2H4O <=> HO2 + cC2H3O,1.00E-09,1.00E-09,1.00E-09
CH3 + cC2H4O <=> CH4 + cC2H3O,1.00E-09,1.00E-09,1.00E-09
CH2CHOH + H <=> CH2CHO + H2,1.00E-09,1.00E-09,1.00E-09
CH2CHOH + H <=> CHCHOH + H2,1.00E-09,1.00E-09,1.00E-09
CH2CHOH + O <=> CH2OH + HCO,1.00E-09,1.00E-09,1.00E-09
CH2CHOH + O <=> CH2OH + HCO,1.00E-09,1.00E-09,1.00E-09
CH2CHOH + O <=> CH2OH + CO + H,1.00E-09,1.00E-09,1.00E-09
CH2CHOH + O <=> CH2OH + CO + H,1.00E-09,1.00E-09,1.00E-09
CH2CHOH + O <=> CH2CHO + OH,1.00E-09,1.00E-09,1.00E-09
CH2CHOH + OH <=> CHCHOH + H2O,1.00E-09,1.00E-09,1.00E-09
CH2CHOH + OH <=> CH2CHO + H2O,1.00E-09,1.00E-09,1.00E-09
CH2CHOH + OH <=> CH2CHO + H2O,1.00E-09,1.00E-09,1.00E-09
CH2CHOH + HO2 <=> CH2CHO + H2O2,1.00E-09,1.00E-09,1.00E-09
CH2CHOH + HO2 <=> CH3CHO + HO2,1.00E-09,1.00E-09,1.00E-09
CH2CHOH + O2 => CH2O + HCO + OH,1.00E-09,1.00E-09,1.00E-09
CH2CHOH + O2 => CH2O + HCO + OH,1.00E-09,1.00E-09,1.00E-09
CH2CHOH + O2 => CH2O + CO + H + OH,1.00E-09,1.00E-09,1.00E-09
CHCHOH <=> H + HCCOH,1.00E-09,1.00E-09,1.00E-09
CHCHOH + H <=> CH2CHO + H,1.00E-09,1.00E-09,1.00E-09
CHCHOH + H <=> H2 + HCCOH,1.00E-09,1.00E-09,1.00E-09
CHCHOH + O <=> H + OCHCHO,1.00E-09,1.00E-09,1.00E-09
CHCHOH + OH <=> H2O + HCCOH,1.00E-09,1.00E-09,1.00E-09
CHCHOH + O2 <=> OCHCHO + OH,1.00E-09,1.00E-09,1.00E-09
CHCHOH + O2 <=> HCO + HOCHO,1.00E-09,1.00E-09,1.00E-09
CHCHOH + O2 <=> HCO + HOCHO,1.00E-09,1.00E-09,1.00E-09
CHCHOH + O2 <=> CO + H + HOCHO,1.00E-09,1.00E-09,1.00E-09
CH2O + CHCHOH <=> CH2CHOH + HCO,1.00E-09,1.00E-09,1.00E-09
CH2O + CHCHOH <=> CH2CHOH + HCO,1.00E-09,1.00E-09,1.00E-09
CH2O + CHCHOH <=> CH2CHOH + CO + H,1.00E-09,1.00E-09,1.00E-09
CHCHOH + HCO <=> CH2CHOH + CO,1.00E-09,1.00E-09,1.00E-09
CH3 + CHCHOH <=> CH4 + HCCOH,1.00E-09,1.00E-09,1.00E-09
cC2H3O <=> CH2CHO,1.00E-09,1.00E-09,1.00E-09
cC2H3O <=> CH2CO + H,1.00E-09,1.00E-09,1.00E-09
cC2H3O <=> CH3 + CO,1.00E-09,1.00E-09,1.00E-09
CH3CO <=> CH3 + CO,1.00E-09,1.00E-09,1.00E-09
CH2CO + H <=> CH3CO,1.00E-09,1.00E-09,1.00E-09
CH3CO + H <=> CH3 + HCO,1.00E-09,1.00E-09,1.00E-09
CH3CO + H <=> CH3 + HCO,1.00E-09,1.00E-09,1.00E-09
CH3CO + H <=> CH3 + CO + H,1.00E-09,1.00E-09,1.00E-09
CH3CO + H <=> CH2CO + H2,1.00E-09,1.00E-09,1.00E-09
CH3CO + O <=> CH3 + CO2,1.00E-09,1.00E-09,1.00E-09
CH3CO + O <=> CH2CO + OH,1.00E-09,1.00E-09,1.00E-09
CH3CO + OH <=> CH2CO + H2O,1.00E-09,1.00E-09,1.00E-09
CH3CO + O2 <=> CH3C(O)OO,1.00E-09,1.00E-09,1.00E-09
CH3CO + O2 <=> CH2CO + HO2,1.00E-09,1.00E-09,1.00E-09
CH3CO + O2 <=> CH2O + CO + OH,1.00E-09,1.00E-09,1.00E-09
CH3 + CH3CO <=> C2H6 + CO,1.00E-09,1.00E-09,1.00E-09
CH3 + CH3CO <=> CH2CO + CH4,1.00E-09,1.00E-09,1.00E-09
CH3CO + CH3OO <=> CH3 + CH3O + CO2,1.00E-09,1.00E-09,1.00E-09
CH2CHO <=> CH2CO + H,1.00E-09,1.00E-09,1.00E-09
CH2CHO <=> CH3 + CO,1.00E-09,1.00E-09,1.00E-09
CH2CHO + H <=> CH3 + HCO,1.00E-09,1.00E-09,1.00E-09
CH2CHO + H <=> CH3 + HCO,1.00E-09,1.00E-09,1.00E-09
CH2CHO + H <=> CH3 + CO + H,1.00E-09,1.00E-09,1.00E-09
CH2CHO + H <=> CH3CO + H,1.00E-09,1.00E-09,1.00E-09
CH2CHO + O <=> CH2O + HCO,1.00E-09,1.00E-09,1.00E-09
CH2CHO + O <=> CH2O + CO + H,1.00E-09,1.00E-09,1.00E-09
CH2CHO + OH <=> CH2CO + H2O,1.00E-09,1.00E-09,1.00E-09
CH2CHO + OH <=> CH2OH + HCO,1.00E-09,1.00E-09,1.00E-09
CH2CHO + OH <=> CH2OH + CO + H,1.00E-09,1.00E-09,1.00E-09
CH2CHO + HO2 <=> CH2O + HCO + OH,1.00E-09,1.00E-09,1.00E-09
CH2CHO + O2 <=> CH2O + CO + OH,1.00E-09,1.00E-09,1.00E-09
CH2 + CH2CHO <=> C2H4 + HCO,1.00E-09,1.00E-09,1.00E-09
CH2 + CH2CHO <=> C2H4 + CO + H,1.00E-09,1.00E-09,1.00E-09
CH + CH2CHO <=> C2H3 + HCO,1.00E-09,1.00E-09,1.00E-09
CH + CH2CHO <=> C2H3 + CO + H,1.00E-09,1.00E-09,1.00E-09
CHCHO + H <=> CH2CO + H,1.00E-09,1.00E-09,1.00E-09
CHCHO + O2 <=> CO2 + H + HCO,1.00E-09,1.00E-09,1.00E-09
CHCHO + O2 <=> O + OCHCHO,1.00E-09,1.00E-09,1.00E-09
CH2 + CO (+M) <=> CH2CO (+M),1.00E-09,1.00E-09,1.00E-09
CH2CO + H <=> CH3 + CO,1.00E-09,1.00E-09,1.00E-09
CH2CO + H <=> H2 + HCCO,1.00E-09,1.00E-09,1.00E-09
CH2CO + O <=> CH2 + CO2,1.00E-09,1.00E-09,1.00E-09
CH2CO + OH <=> CH2OH + CO,1.00E-09,1.00E-09,1.00E-09
CH2CO + OH <=> CH3 + CO2,1.00E-09,1.00E-09,1.00E-09
CH2CO + OH <=> H2O + HCCO,1.00E-09,1.00E-09,1.00E-09
CH2(S) + CH2CO <=> C2H4 + CO,1.00E-09,1.00E-09,1.00E-09
H + HCCOH <=> H2 + HCCO,1.00E-09,1.00E-09,1.00E-09
HCCOH + OH <=> H2O + HCCO,1.00E-09,1.00E-09,1.00E-09
CH + CO (+M) <=> HCCO (+M),1.00E-09,1.00E-09,1.00E-09
H + HCCO <=> CH2(S) + CO,1.00E-09,1.00E-09,1.00E-09
HCCO + O <=> 2 CO + H,1.00E-09,1.00E-09,1.00E-09
HCCO + OH <=> C2O + H2O,1.00E-09,1.00E-09,1.00E-09
HCCO + OH <=> CH2CO + O,1.00E-09,1.00E-09,1.00E-09
HCCO + OH <=> CO + HCOH,1.00E-09,1.00E-09,1.00E-09
HCCO + OH <=> CO + HCOH,1.00E-09,1.00E-09,1.00E-09
HCCO + OH <=> CO + HCOH,1.00E-09,1.00E-09,1.00E-09
HCCO + OH <=> CH2O + CO,1.00E-09,1.00E-09,1.00E-09
HCCO + OH <=> H + OCHCO,1.00E-09,1.00E-09,1.00E-09
HCCO + OH <=> CH2 + CO2,1.00E-09,1.00E-09,1.00E-09
HCCO + O2 <=> CO + CO2 + H,1.00E-09,1.00E-09,1.00E-09
HCCO + O2 <=> 2 CO + OH,1.00E-09,1.00E-09,1.00E-09
HCCO + O2 <=> CO + HCO + O,1.00E-09,1.00E-09,1.00E-09
HCCO + O2 <=> 2 CO + H + O,1.00E-09,1.00E-09,1.00E-09
CH2 + HCCO <=> C2H3 + CO,1.00E-09,1.00E-09,1.00E-09
CH + HCCO <=> C2H2 + CO,1.00E-09,1.00E-09,1.00E-09
2 HCCO <=> C2H2 + 2 CO,1.00E-09,1.00E-09,1.00E-09
C2O + M <=> C + CO + M,1.00E-09,1.00E-09,1.00E-09
C2O + H <=> CH + CO,1.00E-09,1.00E-09,1.00E-09
C2O + O <=> 2 CO,1.00E-09,1.00E-09,1.00E-09
C2O + OH <=> 2 CO + H,1.00E-09,1.00E-09,1.00E-09
C2O + O2 <=> 2 CO + O,1.00E-09,1.00E-09,1.00E-09
C2O + O2 <=> CO + CO2,1.00E-09,1.00E-09,1.00E-09
C + C2O <=> C2 + CO,1.00E-09,1.00E-09,1.00E-09
CH3CH2OOH <=> CH3CH2O + OH,1.00E-09,1.00E-09,1.00E-09
CH3CH2OOH + H <=> CH3CHOOH + H2,1.00E-09,1.00E-09,1.00E-09
CH3CH2OOH + H <=> CH3CH2OO + H2,1.00E-09,1.00E-09,1.00E-09
CH3CH2OOH + H <=> CH3CH2O + H2O,1.00E-09,1.00E-09,1.00E-09
CH3CH2OOH + O <=> CH3CHOOH + OH,1.00E-09,1.00E-09,1.00E-09
CH3CH2OOH + O <=> CH3CH2OO + OH,1.00E-09,1.00E-09,1.00E-09
CH3CH2OOH + OH <=> CH3CHOOH + H2O,1.00E-09,1.00E-09,1.00E-09
CH3CH2OOH + OH <=> CH3CH2OO + H2O,1.00E-09,1.00E-09,1.00E-09
CH3CH2OOH + HO2 <=> CH3CH2OO + H2O2,1.00E-09,1.00E-09,1.00E-09
CH3CHOOH <=> CH3CHO + OH,1.00E-09,1.00E-09,1.00E-09
CH3CH2OO <=> CH2CH2OOH,1.00E-09,1.00E-09,1.00E-09
CH3CH2OO <=> C2H4 + HO2,1.00E-09,1.00E-09,1.00E-09
CH3CH2OO <=> OH + cC2H4O,1.00E-09,1.00E-09,1.00E-09
CH3CH2OO + H <=> CH3CH2O + OH,1.00E-09,1.00E-09,1.00E-09
CH3CH2OO + O <=> CH3CH2O + O2,1.00E-09,1.00E-09,1.00E-09
CH3CH2OO + OH <=> CH3CH2OH + O2,1.00E-09,1.00E-09,1.00E-09
CH3CH2OO + HO2 <=> CH3CH2OOH + O2,1.00E-09,1.00E-09,1.00E-09
CH3CH2OO + CO <=> CH3CH2O + CO2,1.00E-09,1.00E-09,1.00E-09
CH3 + CH3CH2OO <=> CH3CH2O + CH3O,1.00E-09,1.00E-09,1.00E-09
CH3CH2OO + CH4 <=> CH3 + CH3CH2OOH,1.00E-09,1.00E-09,1.00E-09
CH3CH2OO + CH3OH <=> CH2OH + CH3CH2OOH,1.00E-09,1.00E-09,1.00E-09
CH2O + CH3CH2OO <=> CH3CH2OOH + HCO,1.00E-09,1.00E-09,1.00E-09
CH2O + CH3CH2OO <=> CH3CH2OOH + CO + H,1.00E-09,1.00E-09,1.00E-09
C2H6 + CH3CH2OO <=> C2H5 + CH3CH2OOH,1.00E-09,1.00E-09,1.00E-09
C2H5 + CH3CH2OO <=> 2 CH3CH2O,1.00E-09,1.00E-09,1.00E-09
CH3CH2OO + CH3CHO <=> CH3CH2OOH + CH3CO,1.00E-09,1.00E-09,1.00E-09
CH3CH2OO + CH3CHO <=> CH2CHO + CH3CH2OOH,1.00E-09,1.00E-09,1.00E-09
2 CH3CH2OO <=> 2 CH3CH2O + O2,1.00E-09,1.00E-09,1.00E-09
2 CH3CH2OO <=> CH3CH2OH + CH3CHO + O2,1.00E-09,1.00E-09,1.00E-09
CH2CH2OOH <=> OH + cC2H4O,1.00E-09,1.00E-09,1.00E-09
CH2CHOOH <=> CH2CHO + OH,1.00E-09,1.00E-09,1.00E-09
CH2CHOOH + H <=> CH2CHOO + H2,1.00E-09,1.00E-09,1.00E-09
CH2CHOOH + H <=> CH2CHO + H2O,1.00E-09,1.00E-09,1.00E-09
CH2CHOOH + O <=> CH2CHOO + OH,1.00E-09,1.00E-09,1.00E-09
CH2CHOOH + OH <=> CH2CHOO + H2O,1.00E-09,1.00E-09,1.00E-09
CH2CHOOH + HO2 <=> CH2CHOO + H2O2,1.00E-09,1.00E-09,1.00E-09
CH2CHOO <=> CHCHO + OH,1.00E-09,1.00E-09,1.00E-09
CH2CHOO <=> CHCHO + OH,1.00E-09,1.00E-09,1.00E-09
CH2CHOO <=> CH2CHO + O,1.00E-09,1.00E-09,1.00E-09
CH2CHOO <=> CH2CHO + O,1.00E-09,1.00E-09,1.00E-09
CH2CHOO <=> H + OCHCHO,1.00E-09,1.00E-09,1.00E-09
CH2CHOO <=> H + OCHCHO,1.00E-09,1.00E-09,1.00E-09
CH2CHOO <=> CH2CO + OH,1.00E-09,1.00E-09,1.00E-09
CH2CHOO <=> CH2CO + OH,1.00E-09,1.00E-09,1.00E-09
CH2CHOO <=> CH2O + HCO,1.00E-09,1.00E-09,1.00E-09
CH2CHOO <=> CH2O + HCO,1.00E-09,1.00E-09,1.00E-09
CH2CHOO <=> CH2O + CO + H,1.00E-09,1.00E-09,1.00E-09
CH2CHOO <=> CH2O + CO + H,1.00E-09,1.00E-09,1.00E-09
CH2CHOO <=> CH3O + CO,1.00E-09,1.00E-09,1.00E-09
CH2CHOO <=> CH3O + CO,1.00E-09,1.00E-09,1.00E-09
CH2CHOO <=> CH3 + CO2,1.00E-09,1.00E-09,1.00E-09
CH2CHOO <=> CH3 + CO2,1.00E-09,1.00E-09,1.00E-09
CH2CHOO + H <=> CH2CHO + OH,1.00E-09,1.00E-09,1.00E-09
CH2CHOO + O <=> CH2CHO + O2,1.00E-09,1.00E-09,1.00E-09
CH2CHOO + OH <=> CH2CHOH + O2,1.00E-09,1.00E-09,1.00E-09
CH2CHOO + OH <=> CH2CHO + HO2,1.00E-09,1.00E-09,1.00E-09
CH2CHOO + HO2 <=> CH2CHOOH + O2,1.00E-09,1.00E-09,1.00E-09
CH2CHOO + CO <=> CH2CHO + CO2,1.00E-09,1.00E-09,1.00E-09
CH2CHOO + CH3 <=> CH2CHO + CH3O,1.00E-09,1.00E-09,1.00E-09
CH2CHOO + CH4 <=> CH2CHOOH + CH3,1.00E-09,1.00E-09,1.00E-09
CH2CHOO + CH3OH <=> CH2CHOOH + CH2OH,1.00E-09,1.00E-09,1.00E-09
CH2CHOO + CH2O <=> CH2CHOOH + HCO,1.00E-09,1.00E-09,1.00E-09
C2H6 + CH2CHOO <=> C2H5 + CH2CHOOH,1.00E-09,1.00E-09,1.00E-09
OCHCHO <=> CH2O + CO,1.00E-09,1.00E-09,1.00E-09
OCHCHO <=> CO + HCOH,1.00E-09,1.00E-09,1.00E-09
OCHCHO <=> 2 CO + H2,1.00E-09,1.00E-09,1.00E-09
OCHCHO <=> 2 HCO,1.00E-09,1.00E-09,1.00E-09
H + OCHCHO <=> CH2O + HCO,1.00E-09,1.00E-09,1.00E-09
H + OCHCHO <=> CH2O + CO + H,1.00E-09,1.00E-09,1.00E-09
O + OCHCHO <=> OCHCO + OH,1.00E-09,1.00E-09,1.00E-09
OCHCHO + OH <=> H2O + OCHCO,1.00E-09,1.00E-09,1.00E-09
HO2 + OCHCHO <=> CO + HOCHO + OH,1.00E-09,1.00E-09,1.00E-09
HO2 + OCHCHO <=> H2O2 + OCHCO,1.00E-09,1.00E-09,1.00E-09
O2 + OCHCHO <=> HO2 + OCHCO,1.00E-09,1.00E-09,1.00E-09
OCHCO <=> CO + HCO,1.00E-09,1.00E-09,1.00E-09
OCHCO <=> 2 CO + H,1.00E-09,1.00E-09,1.00E-09
O2 + OCHCO <=> CO + CO2 + OH,1.00E-09,1.00E-09,1.00E-09
HOCHO (+M) <=> CO + H2O (+M),1.00E-09,1.00E-09,1.00E-09
HOCHO (+M) <=> CO2 + H2 (+M),1.00E-09,1.00E-09,1.00E-09
H + HOCHO <=> H2 + HOCO,1.00E-09,1.00E-09,1.00E-09
H + HOCHO <=> H2 + OCHO,1.00E-09,1.00E-09,1.00E-09
HOCHO + O <=> HOCO + OH,1.00E-09,1.00E-09,1.00E-09
HOCHO + O <=> OCHO + OH,1.00E-09,1.00E-09,1.00E-09
HOCHO + OH <=> H2O + HOCO,1.00E-09,1.00E-09,1.00E-09
HOCHO + OH <=> H2O + OCHO,1.00E-09,1.00E-09,1.00E-09
HO2 + HOCHO <=> H2O2 + HOCO,1.00E-09,1.00E-09,1.00E-09
HO2 + HOCHO <=> H2O2 + OCHO,1.00E-09,1.00E-09,1.00E-09
HO2 + HOCO <=> HOCHO + O2,1.00E-09,1.00E-09,1.00E-09
HOCHO + O2 <=> HO2 + OCHO,1.00E-09,1.00E-09,1.00E-09
OCHO <=> CO2 + H,1.00E-09,1.00E-09,1.00E-09
O2 + OCHO <=> CO2 + HO2,1.00E-09,1.00E-09,1.00E-09
HOCH2CH2OO <=> 2 CH2O + OH,1.00E-09,1.00E-09,1.00E-09
HOCH2CH2OO <=> CH2CHOH + HO2,1.00E-09,1.00E-09,1.00E-09
HO2 + HOCH2CH2OO => CH2OH + CH2OOH + O2,1.00E-09,1.00E-09,1.00E-09
CH2O + HOCH2CH2OO => CH2OH + CH2OOH + HCO,1.00E-09,1.00E-09,1.00E-09
C2H4 + HOCH2CH2OO => CH2O + CH2OH + CH3CHO,1.00E-09,1.00E-09,1.00E-09
H + NH2 (+M) <=> NH3 (+M),1.00E-09,1.00E-09,1.00E-09
H + NH3 <=> H2 + NH2,1.00E-09,1.00E-09,1.00E-09
NH3 + O <=> NH2 + OH,1.00E-09,1.00E-09,1.00E-09
NH3 + OH <=> H2O + NH2,1.00E-09,1.00E-09,1.00E-09
HO2 + NH3 <=> H2O2 + NH2,1.00E-09,1.00E-09,1.00E-09
H2 + NH <=> H + NH2,1.00E-09,1.00E-09,1.00E-09
NH2 + O <=> H + HNO,1.00E-09,1.00E-09,1.00E-09
NH2 + O <=> NH + OH,1.00E-09,1.00E-09,1.00E-09
NH2 + O <=> NH + OH,1.00E-09,1.00E-09,1.00E-09
NH2 + OH <=> H2O + NH,1.00E-09,1.00E-09,1.00E-09
HO2 + NH2 <=> NH3 + O2,1.00E-09,1.00E-09,1.00E-09
HO2 + NH2 <=> H2NO + OH,1.00E-09,1.00E-09,1.00E-09
HO2 + NH2 <=> H2O + HNO,1.00E-09,1.00E-09,1.00E-09
HO2 + NH2 <=> H2O + HNO,1.00E-09,1.00E-09,1.00E-09
HO2 + NH2 <=> H2O + HON,1.00E-09,1.00E-09,1.00E-09
NH2 + O2 <=> H2NO + O,1.00E-09,1.00E-09,1.00E-09
NH2 + O2 <=> HNO + OH,1.00E-09,1.00E-09,1.00E-09
2 NH2 <=> NH + NH3,1.00E-09,1.00E-09,1.00E-09
NH + NH2 <=> N + NH3,1.00E-09,1.00E-09,1.00E-09
N + NH2 <=> 2 H + N2,1.00E-09,1.00E-09,1.00E-09
HNO + NH2 <=> NH3 + NO,1.00E-09,1.00E-09,1.00E-09
NH2 + NO <=> H2O + N2,1.00E-09,1.00E-09,1.00E-09
NH2 + NO <=> NNH + OH,1.00E-09,1.00E-09,1.00E-09
HONO + NH2 <=> NH3 + NO2,1.00E-09,1.00E-09,1.00E-09
NH2 + NO2 <=> H2NO + NO,1.00E-09,1.00E-09,1.00E-09
NH2 + NO2 <=> H2O + N2O,1.00E-09,1.00E-09,1.00E-09
H + NH <=> H2 + N,1.00E-09,1.00E-09,1.00E-09
NH + O <=> H + NO,1.00E-09,1.00E-09,1.00E-09
NH + OH <=> H + HNO,1.00E-09,1.00E-09,1.00E-09
NH + OH <=> H2O + N,1.00E-09,1.00E-09,1.00E-09
NH + O2 <=> HNO + O,1.00E-09,1.00E-09,1.00E-09
NH + O2 <=> NO + OH,1.00E-09,1.00E-09,1.00E-09
2 NH <=> N + NH2,1.00E-09,1.00E-09,1.00E-09
N + NH <=> H + N2,1.00E-09,1.00E-09,1.00E-09
NH + NO <=> H + N2O,1.00E-09,1.00E-09,1.00E-09
NH + NO <=> N2 + OH,1.00E-09,1.00E-09,1.00E-09
HONO + NH <=> NH2 + NO2,1.00E-09,1.00E-09,1.00E-09
NH + NO2 <=> N2O + OH,1.00E-09,1.00E-09,1.00E-09
