Reaction,Uncertainty A (unit),Uncertainty N (unit),Uncertainty Ea (unit)
CH3OOH + OH <=> CH3OO + H2O,1.00E-09,1.00E-09,1.00E-09
CH3OOH + OH <=> CH2OOH + H2O,1.00E-09,1.00E-09,1.00E-09
CH3OOH + HO2 <=> CH3OO + H2O2,1.00E-09,1.00E-09,1.00E-09
CH3OO + H <=> CH3O + OH,1.00E-09,1.00E-09,1.00E-09
CH3OO + O <=> CH3O + O2,1.00E-09,1.00E-09,1.00E-09
CH3OO + OH <=> CH3OH + O2,1.00E-09,1.00E-09,1.00E-09
CH3OO + HO2 <=> CH3OOH + O2,1.00E-09,1.00E-09,1.00E-09
CH3 + CH3OO <=> 2 CH3O,1.00E-09,1.00E-09,1.00E-09
CH3 + CH3OOH <=> CH3OO + CH4,1.00E-09,1.00E-09,1.00E-09
CH2OH + CH3OO <=> CH2O + CH3OOH,1.00E-09,1.00E-09,1.00E-09
CH3OO + HCO <=> CH3O + CO2 + H,1.00E-09,1.00E-09,1.00E-09
CH3OO + CO <=> CH3O + CO2,1.00E-09,1.00E-09,1.00E-09
CH2O + CH3OO <=> CH3OOH + HCO,1.00E-09,1.00E-09,1.00E-09
CH2O + CH3OO <=> CH3OOH + CO + H,1.00E-09,1.00E-09,1.00E-09
CH3O + CH3OO <=> CH2O + CH3OOH,1.00E-09,1.00E-09,1.00E-09
CH3OH + CH3OO <=> CH2OH + CH3OOH,1.00E-09,1.00E-09,1.00E-09
2 CH3OO <=> 2 CH3O + O2,1.00E-09,1.00E-09,1.00E-09
2 CH3OO <=> 2 CH3O + O2,1.00E-09,1.00E-09,1.00E-09
2 CH3OO <=> CH2O + CH3OH + O2,1.00E-09,1.00E-09,1.00E-09
CH2OOH <=> CH2O + OH,1.00E-09,1.00E-09,1.00E-09
HCOH <=> CH2O,1.00E-09,1.00E-09,1.00E-09
HCOH <=> CO + H2,1.00E-09,1.00E-09,1.00E-09
H + HCOH <=> CH2O + H,1.00E-09,1.00E-09,1.00E-09
H + HCOH <=> H2 + HCO,1.00E-09,1.00E-09,1.00E-09
H + HCOH <=> CO + H + H2,1.00E-09,1.00E-09,1.00E-09
HCOH + O <=> CO2 + 2 H,1.00E-09,1.00E-09,1.00E-09
HCOH + OH <=> H2O + HCO,1.00E-09,1.00E-09,1.00E-09
HCOH + OH <=> CO + H + H2O,1.00E-09,1.00E-09,1.00E-09
CH2O + OH <=> HOCH2O,1.00E-09,1.00E-09,1.00E-09
HOCH2O <=> H + HOCHO,1.00E-09,1.00E-09,1.00E-09
2 CH3 (+M) <=> C2H6 (+M),1.00E-09,1.00E-09,1.00E-09
C2H6 + H <=> C2H5 + H2,1.00E-09,1.00E-09,1.00E-09
C2H6 + H <=> C2H5 + H2,1.00E-09,1.00E-09,1.00E-09
C2H6 + O <=> C2H5 + OH,1.00E-09,1.00E-09,1.00E-09
C2H6 + OH <=> C2H5 + H2O,1.00E-09,1.00E-09,1.00E-09
C2H6 + HO2 <=> C2H5 + H2O2,1.00E-09,1.00E-09,1.00E-09
C2H6 + O2 <=> C2H5 + HO2,1.00E-09,1.00E-09,1.00E-09
C2H6 + CH3 <=> C2H5 + CH4,1.00E-09,1.00E-09,1.00E-09
C2H6 + CH2(S) <=> C2H5 + CH3,1.00E-09,1.00E-09,1.00E-09
C2H6 + CH3OO <=> C2H5 + CH3OOH,1.00E-09,1.00E-09,1.00E-09
C2H4 + H (+M) <=> C2H5 (+M),1.00E-09,1.00E-09,1.00E-09
C2H5 + H (+M) <=> C2H6 (+M),1.00E-09,1.00E-09,1.00E-09
C2H5 + O <=> CH2O + CH3,1.00E-09,1.00E-09,1.00E-09
C2H5 + O <=> CH3CHO + H,1.00E-09,1.00E-09,1.00E-09
C2H5 + O <=> C2H4 + OH,1.00E-09,1.00E-09,1.00E-09
C2H5 + OH <=> C2H4 + H2O,1.00E-09,1.00E-09,1.00E-09
C2H5 + OH <=> CH2OH + CH3,1.00E-09,1.00E-09,1.00E-09
C2H5 + HO2 <=> CH3CH2O + OH,1.00E-09,1.00E-09,1.00E-09
C2H5 + O2 <=> CH3CH2OO,1.00E-09,1.00E-09,1.00E-09
C2H5 + O2 <=> C2H4 + HO2,1.00E-09,1.00E-09,1.00E-09
C2H5 + O2 <=> CH2CH2OOH,1.00E-09,1.00E-09,1.00E-09
C2H5 + O2 <=> OH + cC2H4O,1.00E-09,1.00E-09,1.00E-09
C2H6 + HCO <=> C2H5 + CH2O,1.00E-09,1.00E-09,1.00E-09
C2H5 + HCO <=> C2H6 + CO,1.00E-09,1.00E-09,1.00E-09
C2H5 + HCO <=> CH2CHO + CH3,1.00E-09,1.00E-09,1.00E-09
